PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100006510.hg.1	NR_015434	LOC148413	uncharacterized LOC148413	0.724001659649148	4.68231106535135	4.66394287538016	3.63957628821897e-05	0.0090173752162311	2.21312011473406
TC0100015651.hg.1	NR_049810	MIR5087	microRNA 5087	0.895352826315101	2.01434162390671	4.35999167901005	9.29601784419498e-05	0.0165355896896517	1.35627333225732
TC0300013843.hg.1	NR_038264	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	-0.777998917229888	4.36121035456557	-4.03737345512537	0.00024688958071875	0.032654618567038	0.466127476897052
TC0500007284.hg.1	NR_015447	LOC153684	uncharacterized LOC153684	0.8464448373124	2.93027178399528	4.09603701754122	0.000207053138052023	0.0290765057075182	0.626247795748544
TC0500008318.hg.1	NR_015370	EPB41L4A-AS1	EPB41L4A antisense RNA 1	-1.05613706633312	6.97623460041145	-5.02849059806443	1.16257853172729e-05	0.00428994570171551	3.25746521453888
TC0500010625.hg.1	NR_104643	FLJ32255	uncharacterized LOC643977	1.22489066508796	4.08417355136084	5.47907868249768	2.79103194532023e-06	0.00166198166203199	4.56351025333921
TC0600006803.hg.1	NR_126015	LYRM4-AS1	LYRM4 antisense RNA 1	0.812993744164024	3.81740299966783	4.06186367510426	0.000229425097862077	0.0310249368449064	0.532870984622943
TC0600008261.hg.1	NR_024403	LOC730101	uncharacterized LOC730101	-1.74332656730035	4.23130636928615	-5.01269467085953	1.22187293507714e-05	0.00442633839105165	3.2119271142872
TC0600011327.hg.1	NR_002139	HCG4	HLA complex group 4 (non-protein coding)	-0.743114049664327	1.66369821864592	-4.56460069512628	4.95276227449795e-05	0.0111013085908759	1.93143389861728
TC0700013633.hg.1	NR_015421	LOC154761	family with sequence similarity 115, member C pseudogene	-0.879183757547441	4.11191550127559	-3.8263046330533	0.00046182204011936	0.0483953919609975	-0.102624911753953
TC0800007019.hg.1	NR_038323	LOC100507156	uncharacterized LOC100507156	-0.846537144311894	4.04017936316503	-5.77218044448072	1.09761739297924e-06	0.000865277984027871	5.41702700562733
TC0800007934.hg.1	NR_033651	MSC-AS1	MSC antisense RNA 1	-1.06547734894957	6.35966165578556	-4.92654761899435	1.60200699808053e-05	0.00522989319879254	2.96397516374352
TC0800012319.hg.1	NR_105006	LINC01111	long intergenic non-protein coding RNA 1111	-0.894716500922396	2.19167149695277	-4.73137013992013	2.95050789276875e-05	0.00799547299965235	2.40510494690505
TC1000009629.hg.1	NR_108040	LINC00702	long intergenic non-protein coding RNA 702	-0.980827221449999	1.74407943837914	-5.00728387722572	1.24286500464578e-05	0.00444054678422734	3.19633336171121
TC1300008172.hg.1	NR_049839	MIR548AR	microRNA 548ar	-1.11411714350423	2.25347188710107	-4.19933440045045	0.000151604843974863	0.0236341731205532	0.910157075340694
TC1400009370.hg.1	NR_045406	HIF1A-AS2	HIF1A antisense RNA 2	-1.48141506303544	3.3301302525399	-6.64041576817294	6.92093540567012e-08	0.000129541037783823	7.93593798163723
TC2000008123.hg.1	NR_109990	NRSN2-AS1	NRSN2 antisense RNA 1	-0.742195377462486	4.62266981472093	-4.30230333179467	0.000110871517390926	0.0188054629344792	1.19548189038842
