PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100009760.hg.1	NR_002212	NUDT4P1	nudix hydrolase 4 pseudogene 1	0.963497050440189	8.87609689323607	5.12268981481808	8.63753583382817e-06	0.000910649627100676	3.50019673274916
TC0100011269.hg.1	NR_046213	LINC00260	long intergenic non-protein coding RNA 260	-1.20838432254183	3.79449879716892	-5.41835904845476	3.38511090964648e-06	0.000431283024021029	4.3925776428464
TC0100011358.hg.1	NR_110982	LOC103021295	uncharacterized LOC103021295	0.752907212867188	5.76468233503691	4.02035600065977	0.000259780660346661	0.0120144225732658	0.276290800635882
TC0100012421.hg.1	NR_027055	FAM41C	family with sequence similarity 41, member C	-1.67919636467056	5.04999473926768	-4.89630278966893	1.76152080007797e-05	0.00157780634865602	2.82229522880117
TC0100015354.hg.1	SIKE1andCSDE1andNRAS.vpAug10-unspliced	SIKE1andCSDE1andNRAS	Transcript Identified by AceView, Entrez Gene ID(s) 7812; 4893; 80143	-0.841199282652055	1.75073563391937	-4.39654980708318	8.31124112666688e-05	0.00509789191034216	1.35108215233672
TC0100017421.hg.1	NR_125989	LOC101929771	uncharacterized LOC101929771	-1.06840993233681	2.74063324222359	-6.61137022267121	7.58855571794538e-08	2.14508784589697e-05	8.01624670858724
TC0200008555.hg.1	NR_038386	LINC01125	long intergenic non-protein coding RNA 1125	-1.79552887618896	2.10429883507792	-7.17527481927523	1.2809713577499e-08	5.38570821306092e-06	9.71185895165215
TC0200009393.hg.1	NR_110294	LOC101928161	uncharacterized LOC101928161	0.70099463939944	2.85930489469883	3.45953968621621	0.00133128271727813	0.0392380215415973	-1.2507804880559
TC0200014758.hg.1	NR_077058	AHCTF1P1	AT hook containing transcription factor 1 pseudogene 1	1.02072214547673	7.55762423029021	7.45964042069597	5.26865078645896e-09	2.6389853912175e-06	10.5572965076116
TC0200016478.hg.1	NR_125792	LINC01291	long intergenic non-protein coding RNA 1291	-2.29993463732369	3.87022204647916	-8.25220305889745	4.60906091169888e-10	4.07314749167937e-07	12.8691660195042
TC0200016485.hg.1	NR_024204	LINC00152	long intergenic non-protein coding RNA 152	-0.861262906618318	8.1067102780768	-4.64748206525956	3.8305684007779e-05	0.00284361804583162	2.0846970041294
TC0200016506.hg.1	NR_027145	LIMS3-LOC440895	LIMS3-LOC440895 readthrough	-1.84294410689737	5.36022801073802	-11.3057830319937	7.7804651181341e-14	3.99815049190931e-10	20.9857220060828
TC0200016719.hg.1	NR_003070	SNORD89	small nucleolar RNA, C/D box 89	-0.828430652707965	4.57930009515446	-3.80269439428721	0.000494979213467857	0.0193181127911667	-0.328539407655744
TC0200016770.hg.1	NR_106867	MIR6809	microRNA 6809	-2.27878464004663	7.20393225173407	-11.138107695119	1.21524692195153e-13	5.49986722818911e-10	20.5754078500858
TC0300008565.hg.1	NR_024618	LOC100129550	uncharacterized LOC100129550	0.754220390967784	4.30223602628395	3.65641485502542	0.000757947753394891	0.0263100978345695	-0.726717575174826
TC0300009576.hg.1	NR_047568	LINC00578	long intergenic non-protein coding RNA 578	1.25304411397719	2.86515583119686	3.90969893410016	0.000361077144373179	0.015282992189157	-0.0329438962426227
TC0300009747.hg.1	NR_033752	LOC344887	NmrA-like family domain containing 1 pseudogene	0.773341541325048	2.7632378508991	4.12648447156271	0.000188923228236821	0.00942544167627392	0.576017510132061
