DataSetId	Species	SeqType	GeneSymbol	CellTissue	Treatment	Source	MainAccession	SubAccession	FileName-RBP	UniqAccession	Assembly	newFileName	CitationForShort	Citation	PubMedID	Title	mutation
SBDH1	Homo sapiens	PAR-CLIP	FUS	HEK293T	-	DDBJ	DRA001158	DRR014099	hg38_FUS_PAR-CLIP_DRR014099.bed	DRR014099	hg38	NA	Yokoshi M, et al. Mol Cell 2014	Yokoshi M, Li Q, Yamamoto M, Okada H, Suzuki Y, Kawahara Y. Direct Binding of Ataxin-2 to Distinct Elements in 3' UTRs Promotes mRNA Stability and Protein Expression. Mol Cell. 2014 Jul 17;55(2):186-98	24954906	Direct Binding of Ataxin-2 to Distinct Elements in 3' UTRs Promotes mRNA Stability and Protein Expression	TC
SBDH2	Homo sapiens	PAR-CLIP	TARDBP	HEK293T	wild type	DDBJ	DRA001158	DRR014100	hg38_TARDBP_PAR-CLIP_DRR014100.bed	DRR014100	hg38	NA	Yokoshi M, et al. Mol Cell 2014	Yokoshi M, Li Q, Yamamoto M, Okada H, Suzuki Y, Kawahara Y. Direct Binding of Ataxin-2 to Distinct Elements in 3' UTRs Promotes mRNA Stability and Protein Expression. Mol Cell. 2014 Jul 17;55(2):186-98	24954906	Direct Binding of Ataxin-2 to Distinct Elements in 3' UTRs Promotes mRNA Stability and Protein Expression	TC
SBDH3	Homo sapiens	PAR-CLIP	ATXN2	HEK293T	wild type, 4-thiouridine and RNase T1	DDBJ	DRA001158	DRR014103	hg38_ATXN2_PAR-CLIP_DRR014103.bed	DRR014103	hg38	NA	Yokoshi M, et al. Mol Cell 2014	Yokoshi M, Li Q, Yamamoto M, Okada H, Suzuki Y, Kawahara Y. Direct Binding of Ataxin-2 to Distinct Elements in 3' UTRs Promotes mRNA Stability and Protein Expression. Mol Cell. 2014 Jul 17;55(2):186-98	24954906	Direct Binding of Ataxin-2 to Distinct Elements in 3' UTRs Promotes mRNA Stability and Protein Expression	TC
SBDH4	Homo sapiens	iCLIP	U2AF2	HeLa	rep1-2, hnRNP C knockdown	ENA	E-MTAB-1371	ERR196173	hg38_U2AF2_iCLIP_ERR196173.bed	ERR196173	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH5	Homo sapiens	iCLIP	HNRNPC	HeLa	rep1-2	ENA	E-MTAB-1371	ERR196174	hg38_HNRNPC_iCLIP_ERR196174.bed	ERR196174	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH6	Homo sapiens	iCLIP	HNRNPC	HeLa	rep1-1	ENA	E-MTAB-1371	ERR196175	hg38_HNRNPC_iCLIP_ERR196175.bed	ERR196175	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH7	Homo sapiens	iCLIP	HNRNPC	HeLa	rep2-5	ENA	E-MTAB-1371	ERR196176	hg38_HNRNPC_iCLIP_ERR196176.bed	ERR196176	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH10	Homo sapiens	iCLIP	HNRNPC	HeLa	rep1-4	ENA	E-MTAB-1371	ERR196179	hg38_HNRNPC_iCLIP_ERR196179.bed	ERR196179	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH11	Homo sapiens	iCLIP	U2AF2	HeLa	hnRNP C knockdown, rep2	ENA	E-MTAB-1371	ERR196180	hg38_U2AF2_iCLIP_ERR196180.bed	ERR196180	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH14	Homo sapiens	iCLIP	U2AF2	HeLa	control for hnRNP C knockdown, rep2	ENA	E-MTAB-1371	ERR196183	hg38_U2AF2_iCLIP_ERR196183.bed	ERR196183	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH15	Homo sapiens	iCLIP	U2AF2	HeLa	rep1-1, hnRNP C knockdown	ENA	E-MTAB-1371	ERR196184	hg38_U2AF2_iCLIP_ERR196184.bed	ERR196184	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH16	Homo sapiens	iCLIP	HNRNPC	HeLa	rep2-7	ENA	E-MTAB-1371	ERR196185	hg38_HNRNPC_iCLIP_ERR196185.bed	ERR196185	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH18	Homo sapiens	iCLIP	HNRNPC	HeLa	rep1-3	ENA	E-MTAB-1371	ERR196187	hg38_HNRNPC_iCLIP_ERR196187.bed	ERR196187	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH20	Homo sapiens	iCLIP	HNRNPC	HeLa	rep2-9	ENA	E-MTAB-1371	ERR196189	hg38_HNRNPC_iCLIP_ERR196189.bed	ERR196189	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH21	Homo sapiens	iCLIP	U2AF2	HeLa	control for hnRNP C knockdown, rep1	ENA	E-MTAB-1371	ERR196190	hg38_U2AF2_iCLIP_ERR196190.bed	ERR196190	hg38	NA	Zarnack K et al. Cell 2013	Zarnack K, König J, Tajnik M, Martincorena I, Eustermann S, Stévant I, Reyes A, Anders S, Luscombe NM, Ule J. Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements. Cell. 2013 Jan 31;152(3):453-66	23374342	Direct competition between hnRNP C and U2AF65 protects the transcriptome from the exonization of Alu elements	none
SBDH24	Homo sapiens	HITS-CLIP	CSTF2	HeLa	nucleoplasm fraction, rep1	ENA	E-MTAB-1375	ERR198679	hg38_CSTF2_HITS-CLIP_ERR198679.bed	ERR198679	hg38	NA	Nojima T, et al. Cell Rep 2013	Nojima T, Dienstbier M, Murphy S, Proudfoot NJ, Dye MJ. Definition of RNA polymerase II CoTC terminator elements in the human genome. Cell Rep. 2013 Apr 25;3(4):1080-92	23562152	Definition of RNA polymerase II CoTC terminator elements in the human genome	none
SBDH32	Homo sapiens	PAR-CLIP	RBM20	HEK293	FLAG/HA-tagged, rep1	ENA	E-MTAB-2572	ERR669914	hg38_RBM20_PAR-CLIP_ERR669914.bed	ERR669914	hg38	NA	Maatz H, J Clin Invest. 2014	Maatz H, Jens M, Liss M, Schafer S, Heinig M, Kirchner M, Adami E, Rintisch C, Dauksaite V, Radke MH, Selbach M, Barton PJ, Cook SA, Rajewsky N, Gotthardt M, Landthaler M, Hubner N. RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing. J Clin Invest. 2014 Aug 1;124(8):3419-30.	24960161	RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing	TC
SBDH33	Homo sapiens	PAR-CLIP	RBM20	HEK293	FLAG/HA-tagged, rep2	ENA	E-MTAB-2572	ERR669915	hg38_RBM20_PAR-CLIP_ERR669915.bed	ERR669915	hg38	NA	Maatz H, J Clin Invest. 2014	Maatz H, Jens M, Liss M, Schafer S, Heinig M, Kirchner M, Adami E, Rintisch C, Dauksaite V, Radke MH, Selbach M, Barton PJ, Cook SA, Rajewsky N, Gotthardt M, Landthaler M, Hubner N. RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing. J Clin Invest. 2014 Aug 1;124(8):3419-30.	24960161	RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing	TC
SBDH34	Homo sapiens	PAR-CLIP	RBM20	HEK293	FLAG/HA-tagged, rep3	ENA	E-MTAB-2572	ERR669917	hg38_RBM20_PAR-CLIP_ERR669917.bed	ERR669917	hg38	NA	Maatz H, J Clin Invest. 2014	Maatz H, Jens M, Liss M, Schafer S, Heinig M, Kirchner M, Adami E, Rintisch C, Dauksaite V, Radke MH, Selbach M, Barton PJ, Cook SA, Rajewsky N, Gotthardt M, Landthaler M, Hubner N. RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing. J Clin Invest. 2014 Aug 1;124(8):3419-30.	24960161	RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing	GA
SBDH35	Homo sapiens	iCLIP	EIF4A3	HeLa	doxycycline, RNase I	ENA	E-MTAB-2599	ERR514997	hg38_EIF4A3_iCLIP_ERR514997.bed	ERR514997	hg38	NA	-	-	-	-	none
SBDH36	Homo sapiens	iCLIP	PTBP1	HeLa	doxycycline, RNase I	ENA	E-MTAB-2599	ERR514998	hg38_PTBP1_iCLIP_ERR514998.bed	ERR514998	hg38	NA	-	-	-	-	none
SBDH39	Homo sapiens	iCLIP	APOBEC3F	CEM-SS-T	RPMI media, HIV1-strainIIIB, GFP-A3F overexpression, rep2	ENA	E-MTAB-2700	ERR565154	hg38_APOBEC3F_iCLIP_ERR565154.bed	ERR565154	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH40	Homo sapiens	iCLIP	APOBEC3G	CEM-SS-T	RPMI media, HIV1-strainIIIB, GFP-A3G packaging, rep2	ENA	E-MTAB-2700	ERR565155	hg38_APOBEC3G_iCLIP_ERR565155.bed	ERR565155	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH41	Homo sapiens	iCLIP	APOBEC3F	CEM-SS-T	RPMI media, HIV1-strainIIIB, T7-A3F overexpression, rep1	ENA	E-MTAB-2700	ERR565156	hg38_APOBEC3F_iCLIP_ERR565156.bed	ERR565156	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH42	Homo sapiens	iCLIP	APOBEC3F	CEM-SS-T	RPMI media, HIV1-strainIIIB, GFP-A3F overexpression, rep1	ENA	E-MTAB-2700	ERR565157	hg38_APOBEC3F_iCLIP_ERR565157.bed	ERR565157	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH43	Homo sapiens	iCLIP	APOBEC3G	CEM-SS-T	RPMI media, HIV1-strainIIIB, T7-A3G packaging, rep1	ENA	E-MTAB-2700	ERR565159	hg38_APOBEC3G_iCLIP_ERR565159.bed	ERR565159	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH44	Homo sapiens	iCLIP	APOBEC3G	CEM-SS-T	RPMI media, HIV1-strainIIIB, GFP-A3G overexpression, rep2	ENA	E-MTAB-2700	ERR565160	hg38_APOBEC3G_iCLIP_ERR565160.bed	ERR565160	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH46	Homo sapiens	iCLIP	APOBEC3G	CEM-SS-T	RPMI media, HIV1-strainIIIB, GFP-A3G overexpression, rep1	ENA	E-MTAB-2700	ERR565164	hg38_APOBEC3G_iCLIP_ERR565164.bed	ERR565164	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH47	Homo sapiens	iCLIP	APOBEC3F	CEM-SS-T	RPMI media, HIV1-strainIIIB, T7-A3F overexpression, rep2	ENA	E-MTAB-2700	ERR565166	hg38_APOBEC3F_iCLIP_ERR565166.bed	ERR565166	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH48	Homo sapiens	iCLIP	APOBEC3G	CEM-SS-T	RPMI media, HIV1-strainIIIB, T7-A3G overexpression, rep1	ENA	E-MTAB-2700	ERR565167	hg38_APOBEC3G_iCLIP_ERR565167.bed	ERR565167	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
SBDH49	Homo sapiens	iCLIP	APOBEC3G	CEM-SS-T	RPMI media, HIV1-strainIIIB, GFP-A3G packaging, rep1	ENA	E-MTAB-2700	ERR565168	hg38_APOBEC3G_iCLIP_ERR565168.bed	ERR565168	hg38	NA	Apolonia L, PLoS Pathog. 2015	Apolonia L, Schulz R, Curk T, Rocha P, Swanson CM, Schaller T, Ule J, Malim MH. Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1. PLoS Pathog. 2015 Jan 15;11(1):e1004609.	25590131	Promiscuous RNA Binding Ensures Effective Encapsidation of APOBEC3 Proteins by HIV-1	none
