C1_H1	C1_H2	C1_H3	C1_N1	C1_N2	C1_N3	C2_H1	C2_H2	C2_H3	C2_N1	C2_N2	C2_N3	C3_H1	C3_H2	C3_H3	C3_N1	C3_N2	C3_N3
DDX11L1	1.88321412089155	2.19780455401377	3.07825390780581	2.14485713443655	3.1303175240187	2.14846912518678	2.24418455780318	1.7331708455021	2.41491953520073	2.10140694103985	1.9078229048223	2.14942588489539	2.50942236191607	2.01622905241552	2.30501854023473	1.93535574092599	2.47307660269895	2.35401374388824
LINC01128	5.78192752624399	5.60146182884951	6.26681206582586	5.27209675155538	5.70234662651796	5.57335629493205	6.71005452060065	6.64332787820655	6.57731608945569	5.73863801532792	5.61127621320771	5.05822894102236	6.1528093343343	6.20392500865344	6.21019706000436	7.46757753080736	6.84187386484863	6.46881530154229
LINC01342	2.32037334331171	2.59132281440257	2.2060423190477	2.01133453673555	1.73110163645901	1.97516577812169	1.7301426207751	2.33635838242095	2.04332303528559	2.2129961921255	1.88280264917073	1.88349727937305	2.48929363013975	2.33640964720428	2.01485189691136	1.98943966849899	1.98620887796735	1.89106016702341
LOC148413	4.16964713405837	4.28190457092296	4.50862038076737	5.08674435059494	4.93154192752381	5.1197052467968	4.78356095455044	4.33754133933454	4.20802213174821	5.09196438041459	4.84267263345285	4.80081422837064	4.37745358693537	4.5003773899356	4.03964567813661	4.22649678345242	5.11779805127611	4.70934920957365
LINC01134	3.43003016558516	3.69616005034833	4.11925490137609	3.54555018751156	2.81204556945311	3.77571721205823	4.18835517200102	3.13063213216495	4.10941749860756	3.23442445382474	3.03055188877792	3.78182251407339	3.44281345720134	3.96963193795923	3.5820150928769	3.6482544992752	3.40765681162116	3.56671028874029
LINC00337	4.3164381545585	4.07419827925768	4.20827433359988	3.94227825529111	3.93680231265698	4.37261906565824	4.25059494559441	4.02996598897963	3.96390986860045	3.7611881609394	4.09917995690327	4.44512567444863	4.40324149556965	4.25993556100245	3.60501450056384	4.48009223411853	4.65937408658942	4.36056115197099
LOC100505887	2.13198142333347	2.54837424499332	2.1212437225154	2.14502507501941	1.9518730182525	3.00689706005321	2.92640218699297	2.26797915978653	2.01665321406417	2.01356976654356	1.92388617465883	1.81595521794681	2.3539116605966	1.86802546533695	2.41161369117905	2.69605317575329	2.42610616032415	3.02442280423845
LOC102724539	2.57456953947891	2.70169324983894	2.72660076463651	2.41215583953966	2.14429693236025	2.35760938384459	2.50145687210887	1.85976412261814	2.47734255300583	2.10172071558864	1.97895306860687	3.18235600246991	2.48437515084944	2.70855240733709	3.12604627960978	2.1603060646796	2.4146099508387	2.55773393982998
LOC102724552	2.004127088346	1.38825536021971	1.96414158245235	1.81868261069666	1.75366943538121	1.59008500205743	1.11197448180983	1.29420689787548	1.71412009145412	1.73805469350726	1.29944383654619	1.24501860385334	1.68514914247418	1.18038150627444	2.07258737053436	1.78607379680111	1.63504580364233	1.313780124675
MTOR-AS1	1.60142407155384	1.59644543638283	1.16612870435853	1.21960968881378	1.15337164576777	1.59147165123033	1.48622518890225	1.41528189249871	1.24215589916069	1.7332805616838	1.37162097637489	1.27991916811651	1.48404999255347	1.52001186217883	1.69151087641805	1.3706758258462	1.44201499462221	2.40079979771961
RNU5E-1	5.30678137061177	5.58922435194952	5.12350996426008	5.81279720914515	5.84963553962752	6.65950494127059	4.11841736801455	4.89983510021046	4.33329132315794	5.58581902480024	5.43413302994716	4.372564538708	4.80919059226025	4.73867670389925	4.67431709084099	4.82453583246313	4.131225826315	4.59900641472149
SNORA59B	4.56914929616589	3.96009764210037	3.86595759215409	4.21393794594968	3.68086693002369	4.72029401235678	4.34291490834624	4.73512009553569	4.52920956789778	4.6741611911255	4.55307446991944	4.12484643485585	4.72304826525784	4.37589176606465	4.49920439554797	3.90567149542309	3.90790206304789	3.16255312440349
MST1P2	5.65457431295911	5.8399535789554	5.53554347987304	5.70018961209521	6.18553102748714	5.89021377595217	5.58571471859663	5.51738624705135	5.45635071252986	5.50674768375184	5.54099330538118	5.75211585986038	5.74373623437472	5.51259908076336	5.66622035396018	5.07613989514893	5.20452420894303	5.25721062699997
