ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-101-3p,MIMAT0000099,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-103a-3p,MIMAT0000101,HOTAIRM1,100506311,CLIP-Seq,24297251,Unspecified
hsa-mir-105-5p,MIMAT0000102,TPT1-AS1,100190939,CLIP-Seq,24297251,Unspecified
hsa-mir-105-5p,MIMAT0000102,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-106a-5p,MIMAT0000103,HOTAIRM1,100506311,CLIP-Seq,24297251,Unspecified
hsa-mir-106a-5p,MIMAT0000103,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-106b-5p,MIMAT0000680,HOTAIRM1,100506311,CLIP-Seq,24297251,Unspecified
hsa-mir-106b-5p,MIMAT0000680,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-107,MIMAT0000104,HOTAIRM1,100506311,CLIP-Seq,24297251,Unspecified
hsa-mir-10a-5p,MIMAT0000253,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-10b-5p,MIMAT0000254,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-1179,MIMAT0005824,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1180-5p,MIMAT0026735,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1193,MIMAT0015049,TPT1-AS1,100190939,CLIP-Seq,24297251,Unspecified
hsa-mir-1197,MIMAT0005955,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1197,MIMAT0005955,TBX2-AS1,103689912,CLIP-Seq,24297251,Unspecified
hsa-mir-122-5p,MIMAT0000421,XXYLT1-AS2,101410543,CLIP-Seq,24297251,Unspecified
hsa-mir-122-5p,MIMAT0000421,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-122-5p,MIMAT0000421,ASB16-AS1,339201,CLIP-Seq,24297251,Unspecified
hsa-mir-124-3p,MIMAT0000422,ZMIZ1-AS1,283050,CLIP-Seq,24297251,Unspecified
hsa-mir-1245b-5p,MIMAT0019950,LINC00473,90632,CLIP-Seq,24297251,Unspecified
hsa-mir-1245b-5p,MIMAT0019950,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-1245b-5p,MIMAT0019950,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1245b-5p,MIMAT0019950,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1245b-5p,MIMAT0019950,TBX2-AS1,103689912,CLIP-Seq,24297251,Unspecified
hsa-mir-1247-5p,MIMAT0005899,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1252-5p,MIMAT0005944,MBNL1-AS1,401093,CLIP-Seq,24297251,Unspecified
hsa-mir-1252-5p,MIMAT0005944,ZMIZ1-AS1,283050,CLIP-Seq,24297251,Unspecified
hsa-mir-1252-5p,MIMAT0005944,LINC00520,645687,CLIP-Seq,24297251,Unspecified
hsa-mir-1252-5p,MIMAT0005944,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-1252-5p,MIMAT0005944,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1252-5p,MIMAT0005944,TBX2-AS1,103689912,CLIP-Seq,24297251,Unspecified
hsa-mir-126-5p,MIMAT0000444,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1266-3p,MIMAT0026742,MBNL1-AS1,401093,CLIP-Seq,24297251,Unspecified
hsa-mir-1277-5p,MIMAT0022724,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1277-5p,MIMAT0022724,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1278,MIMAT0005936,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1278,MIMAT0005936,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-128-3p,MIMAT0000424,ZMIZ1-AS1,283050,CLIP-Seq,24297251,Unspecified
hsa-mir-128-3p,MIMAT0000424,RASSF8-AS1,100506451,CLIP-Seq,24297251,Unspecified
hsa-mir-128-3p,MIMAT0000424,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1286,MIMAT0005877,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-129-5p,MIMAT0000242,HOTAIRM1,100506311,CLIP-Seq,24297251,Unspecified
hsa-mir-129-5p,MIMAT0000242,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-129-5p,MIMAT0000242,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-129-5p,MIMAT0000242,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1294,MIMAT0005884,LINC00473,90632,CLIP-Seq,24297251,Unspecified
hsa-mir-1296-5p,MIMAT0005794,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1297,MIMAT0005886,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-1301-3p,MIMAT0005797,MBNL1-AS1,401093,CLIP-Seq,24297251,Unspecified
hsa-mir-1307-3p,MIMAT0005951,MBNL1-AS1,401093,CLIP-Seq,24297251,Unspecified
hsa-mir-130a-5p,MIMAT0004593,LINC00473,90632,CLIP-Seq,24297251,Unspecified
hsa-mir-130a-5p,MIMAT0004593,ZMIZ1-AS1,283050,CLIP-Seq,24297251,Unspecified
hsa-mir-130a-5p,MIMAT0004593,MEG3,55384,CLIP-Seq,24297251,Unspecified
hsa-mir-130a-5p,MIMAT0004593,GABPB1-AS1,100129387,CLIP-Seq,24297251,Unspecified
hsa-mir-132-3p,MIMAT0000426,MBNL1-AS1,401093,CLIP-Seq,24297251,Unspecified
