Id,Label
MIMAT0000099,hsa-mir-101-3p
MIMAT0000101,hsa-mir-103a-3p
MIMAT0000102,hsa-mir-105-5p
MIMAT0000103,hsa-mir-106a-5p
MIMAT0000680,hsa-mir-106b-5p
MIMAT0000104,hsa-mir-107
MIMAT0000253,hsa-mir-10a-5p
MIMAT0000254,hsa-mir-10b-5p
MIMAT0005824,hsa-mir-1179
MIMAT0026735,hsa-mir-1180-5p
MIMAT0015049,hsa-mir-1193
MIMAT0005955,hsa-mir-1197
MIMAT0000421,hsa-mir-122-5p
MIMAT0000422,hsa-mir-124-3p
MIMAT0019950,hsa-mir-1245b-5p
MIMAT0005899,hsa-mir-1247-5p
MIMAT0005944,hsa-mir-1252-5p
MIMAT0000444,hsa-mir-126-5p
MIMAT0026742,hsa-mir-1266-3p
MIMAT0022724,hsa-mir-1277-5p
MIMAT0005936,hsa-mir-1278
MIMAT0000424,hsa-mir-128-3p
MIMAT0005877,hsa-mir-1286
MIMAT0000242,hsa-mir-129-5p
MIMAT0005884,hsa-mir-1294
MIMAT0005794,hsa-mir-1296-5p
MIMAT0005886,hsa-mir-1297
MIMAT0005797,hsa-mir-1301-3p
MIMAT0005951,hsa-mir-1307-3p
MIMAT0004593,hsa-mir-130a-5p
MIMAT0000426,hsa-mir-132-3p
MIMAT0005952,hsa-mir-1321
MIMAT0005795,hsa-mir-1323
MIMAT0000447,hsa-mir-134-5p
MIMAT0019776,hsa-mir-1343-3p
MIMAT0000428,hsa-mir-135a-5p
MIMAT0000758,hsa-mir-135b-5p
MIMAT0000429,hsa-mir-137
MIMAT0000430,hsa-mir-138-5p
MIMAT0004597,hsa-mir-140-3p
MIMAT0000431,hsa-mir-140-5p
MIMAT0000433,hsa-mir-142-5p
MIMAT0000435,hsa-mir-143-3p
MIMAT0000436,hsa-mir-144-3p
MIMAT0000437,hsa-mir-145-5p
MIMAT0000449,hsa-mir-146a-5p
MIMAT0002809,hsa-mir-146b-5p
MIMAT0000251,hsa-mir-147a
MIMAT0004928,hsa-mir-147b
MIMAT0000243,hsa-mir-148a-3p
MIMAT0000759,hsa-mir-148b-3p
MIMAT0000450,hsa-mir-149-5p
MIMAT0000451,hsa-mir-150-5p
