Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of cellular response to heat (GO:1900034)	4/79	8.700307026586768E-5	0.06664435182365464	0	0	19.264	180.1100615683554	HSP90AA1;NUP155;HSBP1;MAPK1
regulation of cellular response to stress (GO:0080135)	4/118	4.079557302899319E-4	0.1303620751519617	0	0	12.648803827751196	98.71571610537147	HSP90AA1;NUP155;HSBP1;MAPK1
regulation of cellular protein catabolic process (GO:1903362)	2/18	0.0012697762309429347	0.1303620751519617	0	0	43.69517543859649	291.39939300135444	HSP90AA1;RDX
regulation of early endosome to late endosome transport (GO:2000641)	2/18	0.0012697762309429347	0.1303620751519617	0	0	43.69517543859649	291.39939300135444	RDX;MAPK1
positive regulation of cellular protein catabolic process (GO:1903364)	2/19	0.0014164746328200488	0.1303620751519617	0	0	41.12280701754386	269.74851300087573	HSP90AA1;RDX
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	3/79	0.001644570571068198	0.1303620751519617	0	0	14.002584586466165	89.76043163067887	CSNK1A1;SUMO2;SMAD7
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	3/79	0.001644570571068198	0.1303620751519617	0	0	14.002584586466165	89.76043163067887	CSNK1A1;SUMO2;SMAD7
regulation of organelle organization (GO:0033043)	3/80	0.001705084716034158	0.1303620751519617	0	0	13.82003710575139	88.09085798759808	TAOK1;RDX;MAPK1
negative regulation of transcription, DNA-templated (GO:0045892)	9/948	0.0017303206749264305	0.1303620751519617	0	0	3.642555910543131	23.164646817708046	ATF7IP;HSBP1;NACC1;CBY1;NKX2-1;HMGA2;ZFP37;TRIM33;SMAD7
chaperone-mediated protein complex assembly (GO:0051131)	2/22	0.0019026387993678797	0.1303620751519617	0	0	34.949122807017545	218.93925214748256	HSP90AA1;TMEM35A
positive regulation of proteasomal protein catabolic process (GO:1901800)	3/86	0.0020974812242110378	0.1303620751519617	0	0	12.817125645438898	79.04344547589636	CSNK1A1;SUMO2;SMAD7
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	2/24	0.0022646895003579077	0.1303620751519617	0	0	31.768740031897927	193.48171703466315	TRIM33;SMAD7
