Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	35/547	1.3489232110517946E-7	3.513944964789925E-4	0	0	2.940226421097285	46.51082136233047	DDX6;CDKN1B;DDX3X;SHMT1;FOXK1;RSF1;NR3C1;PHB2;ZBTB4;ARNTL;SYNCRIP;HMBOX1;SCML2;LARP1;SIX4;NACC2;IGF2BP1;BTRC;MTA3;ZBTB18;XRCC6;IGFBP5;CBX3;ZBTB38;PHF12;EIF2AK3;HMGA2;SFRP1;MDFIC;ID4;BIRC5;CALR;ATF5;CNOT8;CLOCK
regulation of cellular macromolecule biosynthetic process (GO:2000112)	30/468	1.0406326601483078E-6	0.0010189333623064321	0	0	2.924366400049033	40.285140709149694	ANKRD17;APP;ZNF395;RBM4B;BAZ2A;NR3C1;BACH1;ZBTB4;ARNTL;SBNO1;GRM5;POFUT1;ZNF280B;CHEK2;ATXN1L;ZNF724;SOX4;ZNF562;ZNF460;ZBTB38;PHF12;HMGA2;FOXN2;ACVR2B;RYBP;TERF2IP;MAPKAPK5;CALR;ATF5;CLOCK
protein phosphorylation (GO:0006468)	31/496	1.1734357339421482E-6	0.0010189333623064321	0	0	2.848729446935725	38.90103744247861	APP;SMG1;MAST4;STK4;PKD1;ACVR1C;GRK4;CHEK2;MKNK2;PRKG2;NEK3;PCK1;CDKL2;MAP2K1;CSNK1A1;NEK7;EIF2AK3;ACVR2B;GTF2H5;UHMK1;ABI2;CDK4;WNK1;STK17A;AAK1;BMP2K;BIRC5;MAPKAPK5;SIK1;FRK;DDR2
negative regulation of transcription, DNA-templated (GO:0045892)	47/948	1.807615124519094E-6	0.00117720934984306	0	0	2.2590764783315698	29.87290276370455	YAP1;CDKN1B;HNRNPU;UBE2D1;FOXK1;RSF1;HMGB1;BMI1;NR3C1;BACH1;PHB2;ZBTB4;IKZF5;ARNTL;HMBOX1;SCML2;CCND1;SIX4;NACC2;ZNF724;ZNF566;BTRC;SKIL;MTA3;ZBTB18;LEFTY1;DR1;XRCC6;CBX3;ZBTB38;PHF12;HMGA2;PARP15;ACVR2B;KLF7;SFRP1;MDFIC;TBL1XR1;ID4;ZNF558;BIRC5;TRIM37;CALR;ATF5;ZNF555;CLOCK;FRK
regulation of gene expression (GO:0010468)	51/1079	2.5607152239158647E-6	0.0013341326316601656	0	0	2.153881459966022	27.7317061677567	ZNF451;APP;DDX3X;BMI1;NR3C1;BACH1;CRKL;PTBP1;POFUT1;ZNF280B;CHEK2;KHSRP;ZNF724;ITGB8;SOX4;ZNF562;MAP2K1;ZBTB38;PTBP2;PTBP3;SFRP1;C1D;TERF2IP;ZNF711;ADNP;ATF5;CLOCK;YAP1;ZNF395;BAZ2A;ZBTB4;ARNTL;ZFP36L1;SBNO1;LARP1;TRA2B;ATXN1L;IGF2BP1;ZNF460;PHF12;EIF2AK3;HMGA2;INHBA;FOXN2;PARP15;ACVR2B;CTCFL;NUDT21;RYBP;CDK4;CALR
negative regulation of RNA splicing (GO:0033119)	6/19	3.7162279619429545E-6	0.0015890636957482979	0	0	19.118079372856442	239.02954941134809	PTBP1;RNPS1;TMBIM6;SRSF6;PTBP2;PTBP3
phosphorylation (GO:0016310)	26/400	4.270036802394658E-6	0.0015890636957482979	0	0	2.9516937998743136	36.49441188233264	APP;DGKE;CERK;STK4;PIK3CG;ACVR1C;GRK4;CHEK2;MKNK2;PRKG2;NEK3;CDKL2;MAP2K1;CSNK1A1;NEK7;EIF2AK3;ACVR2B;CDK4;WNK1;STK17A;AAK1;BMP2K;POMK;BIRC5;SIK1;FRK
regulation of translation (GO:0006417)	16/178	5.986450267515406E-6	0.0019493378683597042	0	0	4.147933906429929	49.88310264881746	APP;DDX6;DDX3X;IGFBP5;SHMT1;EIF2AK3;RBM4B;SYNCRIP;GRM5;LARP1;IGF2BP1;MAPKAPK5;CALR;VIM;CNOT8;SOX4
negative regulation of gene expression (GO:0010629)	22/322	1.0753130333219705E-5	0.0031124338353374814	0	0	3.098212454212454	35.444522236696535	YAP1;APP;DDX6;MAP2K1;DDX3X;IGFBP5;SHMT1;EIF2AK3;BMI1;PARP15;PTBP2;CRKL;PTBP3;SYNCRIP;PTBP1;SFRP1;LARP1;IGF2BP1;ITGB8;TMBIM6;CALR;CNOT8
regulation of nucleic acid-templated transcription (GO:1903506)	26/430	1.5340667804927505E-5	0.003996243963183615	0	0	2.7282277008188625	30.24241287412951	ZNF395;BAZ2A;NR3C1;BACH1;ZBTB4;ARNTL;SBNO1;POFUT1;ZNF280B;CHEK2;ATXN1L;ZNF724;SOX4;ZNF562;ZNF460;ZBTB38;PHF12;HMGA2;ACTN4;FOXN2;ACVR2B;RYBP;TERF2IP;CALR;ATF5;CLOCK
