"RNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrasts","Gene"
"SLC6A10P",1.90600132941171,7.3937349111848,14.7063350921031,5.21830705846968e-14,1.46843160625337e-10,21.221519256121,"HOx-nOx","SLC6A10P"
"LOC154761",2.27501850869855,4.51918369172329,10.7646211317392,5.25903416661696e-11,7.39946107243006e-08,15.0312782725409,"HOx-nOx","LOC154761"
"LIMS3-LOC440895",1.84294410689738,5.74459426464292,10.3151925459282,1.28810734180641e-10,1.20824468661441e-07,14.2016923322799,"HOx-nOx","LIMS3-LOC440895"
"MIR6809",2.27878464004664,7.42802154480046,9.73395446894807,4.25746277067281e-10,2.99512505916833e-07,13.0867558340792,"HOx-nOx","MIR6809"
"FENDRR",-2.42354236691914,5.51724517609332,-8.93826887745225,2.34595176730564e-09,1.32030165463962e-06,11.4813377486836,"HOx-nOx","FENDRR"
"LINC01291",2.29993463732369,4.414608608427,8.27156119398884,1.04509424850003e-08,4.90149202546516e-06,10.0644162475047,"HOx-nOx","LINC01291"
"LINC01125",1.79552887618896,2.48942390591105,7.92948249877857,2.30143576052074e-08,9.25177175729338e-06,9.31201452158828,"HOx-nOx","LINC01125"
"TPT1-AS1",0.990631334091462,6.87897014330821,7.65833420825945,4.35021067089248e-08,1.53018660348643e-05,8.70355431730201,"HOx-nOx","TPT1-AS1"
"MIR503",-1.58416595530268,4.09612942430964,-6.74372820056386,3.9925865514702e-07,0.000124834872842635,6.57581641824405,"HOx-nOx","MIR503"
"MFSD14C",-1.08639139371007,5.83917530020497,-6.60222423174375,5.67725491777336e-07,0.000159757953386142,6.23689146078267,"HOx-nOx","MFSD14C"
"LOC101929705",1.14596324966204,2.21615298589739,6.49114669464897,7.49612703906535e-07,0.000191764558981181,5.96916738276791,"HOx-nOx","LOC101929705"
"TCAF2P1",1.39980705967019,4.17087464624684,6.41209184669136,9.14318478570764e-07,0.000206806329454544,5.77775812373311,"HOx-nOx","TCAF2P1"
"MIR548AR",1.28422275718867,2.3534999023743,6.39463666080443,9.55395267558307e-07,0.000206806329454544,5.73540025958272,"HOx-nOx","MIR548AR"
