"RNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrasts","Gene"
"HIF1A-AS2",1.48141506303544,3.36982556393756,6.95584828358437,2.47620171075828e-07,0.000696803161407379,6.80616510198843,"HOx-nOx","HIF1A-AS2"
"LOC730101",1.74332656730035,4.79574422975255,5.76877133685928,4.85752126879774e-06,0.00575007877985413,4.13460868224816,"HOx-nOx","LOC730101"
"LOC100507156",0.846537144311894,4.1237294500029,5.67820248434558,6.13014795293617e-06,0.00575007877985413,3.92381583706733,"HOx-nOx","LOC100507156"
"FLJ32255",-1.22489066508796,4.07588605602874,-5.45359766295925,1.09451346347862e-05,0.00769990221557206,3.39776827585879,"HOx-nOx","FLJ32255"
"LINC00702",0.98082722145,1.86594939759479,5.36429553991008,1.37948526413774e-05,0.00776374306656723,3.18744410873353,"HOx-nOx","LINC00702"
"TCAF2P1",0.631147342278398,4.00309651861223,5.16903696293691,2.29144323273094e-05,0.0102585015353392,2.72562763254218,"HOx-nOx","TCAF2P1"
"LOC153684",-0.8464448373124,2.71335500936273,-5.12634318117725,2.56095045159412e-05,0.0102585015353392,2.62434295202475,"HOx-nOx","LOC153684"
"ZBED5-AS1",-0.942960039232758,3.23086921901313,-5.07647309478427,2.91641834693367e-05,0.0102585015353392,2.50591430207028,"HOx-nOx","ZBED5-AS1"
"PKD1P6",0.618812112129565,7.32888959214665,5.02058553311579,3.37407565532585e-05,0.0105496098823188,2.37305722344068,"HOx-nOx","PKD1P6"
"LINC00707",-1.23288129809635,3.31067317047047,-4.72025332986289,7.39414822073031e-05,0.0208071330931351,1.65734920479496,"HOx-nOx","LINC00707"
"TPT1-AS1",0.591650594842346,6.40732362450398,4.67820482849551,8.25328864112737e-05,0.0211134129419386,1.55701603107169,"HOx-nOx","TPT1-AS1"
"LINC01111",0.894716500922396,2.81979438058847,4.51193231798284,0.000127453950791037,0.0285206146063955,1.16031228758035,"HOx-nOx","LINC01111"
"NRSN2-AS1",0.742195377462486,4.62358691693593,4.49921741754865,0.000131758347506447,0.0285206146063955,1.12999005117167,"HOx-nOx","NRSN2-AS1"
"MIR1244-2",0.702599307531956,6.1582410691172,4.39512970875722,0.000172900997273831,0.0298324340312199,0.881915528765373,"HOx-nOx","MIR1244-2"
"LYRM4-AS1",-0.812993744164024,3.78262598222495,-4.3807303292059,0.000179520038341567,0.0298324340312199,0.847623746035896,"HOx-nOx","LYRM4-AS1"
"MIR1244-1",0.606788098785182,6.40509448200602,4.37255121665919,0.000183391405379166,0.0298324340312199,0.828148821115285,"HOx-nOx","MIR1244-1"
"MIR6809",0.662555563784099,6.97984295866767,4.36400111166458,0.000187527161200059,0.0298324340312199,0.807793314739929,"HOx-nOx","MIR6809"
"EPB41L4A-AS1",1.05613706633312,6.73025883288819,4.34806625772526,0.000195484033292538,0.0298324340312199,0.769864578025488,"HOx-nOx","EPB41L4A-AS1"
"LURAP1L-AS1",0.567794945135367,1.34710109912472,4.33657930968273,0.000201427237595301,0.0298324340312199,0.742529552693646,"HOx-nOx","LURAP1L-AS1"
"CRSP8P",-0.544179417625064,3.47634204854558,-4.31445445585412,0.000213385007530478,0.0300232705595383,0.689896526573193,"HOx-nOx","CRSP8P"
"MIR5087",-0.895352826315101,2.15166950891825,-4.28010821980907,0.000233359609186842,0.0300772288906199,0.608236538961222,"HOx-nOx","MIR5087"
"RPL13P5",-0.630386096087545,4.14475839884938,-4.27718120549393,0.000235145357353816,0.0300772288906199,0.601280194280555,"HOx-nOx","RPL13P5"
"FAM86JP",-0.558354298328648,7.18862187473721,-4.24125491619711,0.000258200520086348,0.0303865866471894,0.515936025272482,"HOx-nOx","FAM86JP"
"LOC728730",1.02389080143073,6.20935880555516,4.23982871992361,0.000259160653707372,0.0303865866471894,0.512549562412118,"HOx-nOx","LOC728730"
"MSC-AS1",1.06547734894957,5.9979274061706,4.18203742208854,0.000301193658245258,0.0339023581720862,0.375431767034321,"HOx-nOx","MSC-AS1"
"HNRNPUL2-BSCL2",-0.478687417104284,6.75344441750506,-4.14682886563026,0.000330044050710355,0.0357209214884207,0.292004337488955,"HOx-nOx","HNRNPUL2-BSCL2"
"LOC148413",-0.724001659649148,4.74607435415574,-4.05932212674198,0.000414139403404307,0.0431625289325822,0.0850681077513222,"HOx-nOx","LOC148413"
"HCG4",0.743114049664327,1.67168282627344,4.04504979861663,0.000429734681839362,0.0431883355248559,0.0513782878331241,"HOx-nOx","HCG4"
"FENDRR",-1.07980788747716,6.12622863074454,-4.02694831331745,0.000450350983209534,0.0436995747155734,0.00867653412063696,"HOx-nOx","FENDRR"
"NSF",-0.540983438831019,6.33358103236379,-4.00371435482129,0.000478249641128471,0.043815853091658,-0.0460873682186582,"HOx-nOx","NSF"
"LUCAT1",1.06956414695798,2.47991918085148,4.00013983606709,0.000482690634627363,0.043815853091658,-0.0545080724328706,"HOx-nOx","LUCAT1"
"NSFP1",-0.561778913615662,6.51413346401844,-3.96877691215971,0.000523442164860899,0.0459944223655051,-0.128336374540665,"HOx-nOx","NSFP1"
"MBNL1-AS1",-0.851468542624997,6.88183845393921,-3.95716175035799,0.00053938021963812,0.0459944223655051,-0.155652625259518,"HOx-nOx","MBNL1-AS1"
"LOC154761",0.879183757547441,3.70464731082789,3.93456868022105,0.000571764500281766,0.0473182411438221,-0.208744934266808,"HOx-nOx","LOC154761"
"CMAHP",-0.583006706975723,2.41151456327684,-3.9166624791681,0.000598785295340052,0.0473182411438221,-0.2507832930144,"HOx-nOx","CMAHP"
"MIR548AR",1.11411714350423,2.15344387182785,3.91243201187847,0.000605350632970006,0.0473182411438221,-0.260709848014194,"HOx-nOx","MIR548AR"
"TBX2-AS1",-0.597029292436824,5.87981827130634,-3.84401520908721,0.000721914338585663,0.0549045121291907,-0.420950528767356,"HOx-nOx","TBX2-AS1"
"MIR4435-2HG",0.485685749298928,7.99281231160854,3.72187553469698,0.000987284763008056,0.0704852558516852,-0.705489543867144,"HOx-nOx","MIR4435-2HG"
"PAXIP1-AS2",-0.652117285770363,4.09184130190249,-3.71892526430167,0.00099475585147092,0.0704852558516852,-0.712336024560799,"HOx-nOx","PAXIP1-AS2"
