ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-105-5p,MIMAT0000102,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-106a-5p,MIMAT0000103,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-106a-5p,MIMAT0000103,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-106b-5p,MIMAT0000680,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-106b-5p,MIMAT0000680,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-1180-5p,MIMAT0026735,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-1245b-5p,MIMAT0019950,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-1276,MIMAT0005930,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-1277-5p,MIMAT0022724,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-1297,MIMAT0005886,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-1297,MIMAT0005886,LINC01111,101926978,CLIP-Seq,24297251,Unspecified
hsa-mir-130a-5p,MIMAT0004593,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-140-3p,MIMAT0004597,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-140-5p,MIMAT0000431,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-142-5p,MIMAT0000433,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-142-5p,MIMAT0000433,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-142-5p,MIMAT0000433,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-146a-5p,MIMAT0000449,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-146b-5p,MIMAT0002809,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-149-5p,MIMAT0000450,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-155-5p,MIMAT0000646,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-15a-5p,MIMAT0000068,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-15b-5p,MIMAT0000417,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-16-5p,MIMAT0000069,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-17-5p,MIMAT0000070,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-17-5p,MIMAT0000070,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-18a-5p,MIMAT0000072,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-18b-5p,MIMAT0001412,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-195-5p,MIMAT0000461,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-200b-3p,MIMAT0000318,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-200c-3p,MIMAT0000617,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-20a-5p,MIMAT0000075,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-20a-5p,MIMAT0000075,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-20b-5p,MIMAT0001413,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-20b-5p,MIMAT0001413,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-21-5p,MIMAT0000076,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-214-3p,MIMAT0000271,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-223-3p,MIMAT0000280,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-2355-5p,MIMAT0016895,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-23a-3p,MIMAT0000078,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-23b-3p,MIMAT0000418,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-23c,MIMAT0018000,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-24-3p,MIMAT0000080,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-26a-5p,MIMAT0000082,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-26a-5p,MIMAT0000082,LINC01111,101926978,CLIP-Seq,24297251,Unspecified
hsa-mir-26b-5p,MIMAT0000083,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-26b-5p,MIMAT0000083,LINC01111,101926978,CLIP-Seq,24297251,Unspecified
hsa-mir-27a-3p,MIMAT0000084,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-27b-3p,MIMAT0000419,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-299-5p,MIMAT0002890,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-302a-3p,MIMAT0000684,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-302b-3p,MIMAT0000715,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-302c-3p,MIMAT0000717,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-302d-3p,MIMAT0000718,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-302e,MIMAT0005931,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
hsa-mir-30a-5p,MIMAT0000087,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-30b-5p,MIMAT0000420,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-30c-5p,MIMAT0000244,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-30d-5p,MIMAT0000245,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-30e-5p,MIMAT0000692,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-3127-5p,MIMAT0014990,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-3142,MIMAT0015011,EPB41L4A-AS1,114915,CLIP-Seq,24297251,Unspecified
hsa-mir-3145-3p,MIMAT0015016,NRSN2-AS1,100507459,CLIP-Seq,24297251,Unspecified
hsa-mir-3163,MIMAT0015037,MSC-AS1,100132891,CLIP-Seq,24297251,Unspecified
