miRNA ID,Accession,SYMBOL,TargetID,Experiment,Literature,Tissue
hsa-mir-635,MIMAT0003305,APBA1,320,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,ARHGDIA,396,PAR-CLIP,26701625,Unspecified
hsa-mir-635,MIMAT0003305,SERPING1,710,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,ELAVL3,1995,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,EPB41,2035,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,B4GALT1,2683,HITS-CLIP,23313552,Unspecified
hsa-mir-635,MIMAT0003305,IFNAR2,3455,PAR-CLIP,21572407,Unspecified
hsa-mir-635,MIMAT0003305,IGF1R,3480,HITS-CLIP,23313552,Unspecified
hsa-mir-635,MIMAT0003305,MNT,4335,HITS-CLIP,23313552,Unspecified
hsa-mir-635,MIMAT0003305,MAP2K7,5609,PAR-CLIP,26701625,Unspecified
hsa-mir-635,MIMAT0003305,HTRA1,5654,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,RAP2B,5912,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,SLC1A5,6510,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,CUL4A,8451,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,SEMA7A,8482,PAR-CLIP,22291592,Unspecified
hsa-mir-635,MIMAT0003305,TIMELESS,8914,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,USP14,9097,PAR-CLIP,24398324|23446348|21572407,Unspecified
hsa-mir-635,MIMAT0003305,CIAO1,9391,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,CHST3,9469,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,NUP93,9688,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,AP3S2,10239,PAR-CLIP,20371350,Unspecified
hsa-mir-635,MIMAT0003305,BASP1,10409,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,PAICS,10606,PAR-CLIP,27292025,Unspecified
hsa-mir-635,MIMAT0003305,CELF1,10658,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-635,MIMAT0003305,NUPL2,11097,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,NCS1,23413,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,GTPBP4,23560,PAR-CLIP,22100165,Unspecified
hsa-mir-635,MIMAT0003305,SUMF2,25870,PAR-CLIP,23592263|21572407|20371350,Unspecified
hsa-mir-635,MIMAT0003305,TBC1D13,54662,HITS-CLIP,23313552,Unspecified
hsa-mir-635,MIMAT0003305,CNNM2,54805,PAR-CLIP,21572407,Unspecified
hsa-mir-635,MIMAT0003305,KLHL28,54813,HITS-CLIP//PAR-CLIP,23592263|21572407|20371350|23824327,Unspecified
hsa-mir-635,MIMAT0003305,TRPM7,54822,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,LAX1,54900,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,TMEM51,55092,PAR-CLIP,26701625,Unspecified
hsa-mir-635,MIMAT0003305,SLC30A10,55532,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,PRR11,55771,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,PCNP,57092,HITS-CLIP,27418678,Unspecified
hsa-mir-635,MIMAT0003305,ZNF490,57474,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,POF1B,79983,PAR-CLIP,22012620,Unspecified
hsa-mir-635,MIMAT0003305,NAA15,80155,HITS-CLIP,23824327,Unspecified
