Id,Label
MIMAT0003305,hsa-mir-635
MIMAT0000080,hsa-mir-24-3p
MIMAT0002874,hsa-mir-503-5p
MIMAT0003258,hsa-mir-590-5p
MIMAT0003330,hsa-mir-654-5p
MIMAT0004497,hsa-mir-24-2-5p
MIMAT0004801,hsa-mir-590-3p
MIMAT0004814,hsa-mir-654-3p
MIMAT0005896,hsa-mir-1244
MIMAT0022265,hsa-mir-548ar-5p
MIMAT0022266,hsa-mir-548ar-3p
MIMAT0022925,hsa-mir-503-3p
MIMAT0027518,hsa-mir-6809-5p
MIMAT0027519,hsa-mir-6809-3p
320,APBA1
396,ARHGDIA
710,SERPING1
1995,ELAVL3
2035,EPB41
2683,B4GALT1
3455,IFNAR2
3480,IGF1R
4335,MNT
5609,MAP2K7
5654,HTRA1
5912,RAP2B
6510,SLC1A5
8451,CUL4A
8482,SEMA7A
8914,TIMELESS
9097,USP14
9391,CIAO1
9469,CHST3
9688,NUP93
10239,AP3S2
10409,BASP1
10606,PAICS
10658,CELF1
11097,NUPL2
23413,NCS1
23560,GTPBP4
25870,SUMF2
54662,TBC1D13
54805,CNNM2
54813,KLHL28
54822,TRPM7
54900,LAX1
55092,TMEM51
55532,SLC30A10
55771,PRR11
57092,PCNP
57474,ZNF490
79983,POF1B
80155,NAA15
80317,ZKSCAN3
81502,HM13
81610,FAM83D
83999,KREMEN1
84335,AKT1S1
90007,MIDN
123263,MTFMT
284361,EMC10
286411,LINC00632
374946,DRAXIN
100288485,MTRNR2L7
100462983,MTRNR2L3
100463488,MTRNR2L10
100463489,MTRNR2L11
100526783,C15orf38-AP3S2
14,AAMP
31,ACACA
51,ACOX1
86,ACTL6A
91,ACVR1B
118,ADD1
120,ADD3
205,AK4
226,ALDOA
241,ALOX5AP
271,AMPD2
290,ANPEP
317,APAF1
331,XIAP
400,ARL1
467,ATF3
506,ATP5B
523,ATP6V1A
595,CCND1
599,BCL2L2
605,BCL7A
655,BMP7
661,POLR3D
672,BRCA1
843,CASP10
890,CCNA2
891,CCNB1
900,CCNG1
915,CD3D
947,CD34
983,CDK1
1005,CDH7
1019,CDK4
1027,CDKN1B
1029,CDKN2A
1111,CHEK1
1153,CIRBP
1295,COL8A1
1340,COX6B1
1363,CPE
1374,CPT1A
1406,CRX
1408,CRY2
1432,MAPK14
1445,CSK
1463,NCAN
1477,CSTF1
1479,CSTF3
1585,CYP11B2
1595,CYP51A1
1615,DARS
1655,DDX5
1718,DHCR24
1719,DHFR
1763,DNA2
1824,DSC2
1849,DUSP7
1857,DVL3
1869,E2F1
1870,E2F2
1871,E2F3
1915,EEF1A1
1968,EIF2S3
1983,EIF5
2012,EMP1
2013,EMP2
2055,CLN8
2065,ERBB3
2069,EREG
2184,FAH
2188,FANCF
2237,FEN1
2239,GPC4
2256,FGF11
2261,FGFR3
2281,FKBP1B
2342,FNTB
2355,FOSL2
2357,FPR1
2562,GABRB3
2625,GATA3
2627,GATA6
2631,NIPSNAP2
2677,GGCX
2730,GCLM
2752,GLUL
2764,GMFB
2868,GRK4
2907,GRINA
2960,GTF2E1
2976,GTF3C2
3014,H2AFX
3049,HBQ1
3065,HDAC1
3073,HEXA
3093,UBE2K
3094,HINT1
3148,HMGB2
3162,HMOX1
3172,HNF4A
3178,HNRNPA1
3267,AGFG1
3298,HSF2
3340,NDST1
3364,HUS1
3423,IDS
3458,IFNG
3466,IFNR
3479,IGF1
3482,IGF2R
3553,IL1B
3565,IL4
3606,IL18
3621,ING1
3638,INSIG1
3690,ITGB3
3720,JARID2
3762,KCNJ5
3770,KCNJ14
3776,KCNK2
3930,LBR
3939,LDHA
3945,LDHB
3987,LIMS1
3996,LLGL1
4173,MCM4
4194,MDM4
4221,MEN1
4293,MAP3K9
4323,MMP14
4329,ALDH6A1
4493,MT1E
4499,MT1M
4601,MXI1
4609,MYC
4627,MYH9
4677,NARS
4678,NASP
4701,NDUFA7
4779,NFE2L1
4792,NFKBIA
4799,NFX1
4810,NHS
4846,NOS3
4851,NOTCH1
4891,SLC11A2
4973,OLR1
5036,PA2G4
5045,FURIN
5049,PAFAH1B2
5106,PCK2
5111,PCNA
5150,PDE7A
5158,PDE6B
5159,PDGFRB
5170,PDPK1
5284,PIGR
5321,PLA2G4A
5326,PLAGL2
5424,POLD1
5433,POLR2D
5534,PPP3R1
