Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
STAT3 1855785 ChIP-Seq MESCs Mouse	2/572	0.0024031206209098512	0.14890668958592246	0	0	68.16491228070176	411.1017085134492	CCND1;CCNE1
ZFP281 18358816 ChIP-ChIP MESCs Mouse	2/578	0.00245334472387523	0.14890668958592246	0	0	67.43402777777777	405.2989389178377	CCND1;CCNE1
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	2/588	0.0025381822088509512	0.14890668958592246	0	0	66.24914675767918	395.9252474598175	CCND1;CCNE1
TCF3 18692474 ChIP-Seq MEFs Mouse	2/745	0.004054274341624291	0.1783880710314688	0	0	51.82772543741588	285.46625973433373	CCND1;CDC25A
AR 19668381 ChIP-Seq PC3 Human	3/3519	0.005443233962489905	0.18176373671921042	0	0	49443.0	257765.24208997886	CCND1;CCNE1;CDC25A
E2F7 22180533 ChIP-Seq HELA Human	1/46	0.0068844034482568265	0.18176373671921042	0	0	221.6888888888889	1103.6774229731402	CDC25A
MYC 19030024 ChIP-ChIP MESCs Mouse	3/3868	0.00722923952860496	0.18176373671921042	0	0	48396.0	238573.95877995717	CCND1;CCNE1;CDC25A
E2F1 21310950 ChIP-Seq MCF-7 Human	2/1145	0.009450133479134749	0.20790293654096448	0	0	32.99037620297463	153.7921081136179	CCNE1;CDC25A
TCF3 18692474 ChIP-Seq MESCs Mouse	2/1351	0.013064247976468641	0.2197343000877057	0	0	27.647146034099332	119.9298896415621	CCND1;CDC25A
MYC 19079543 ChIP-ChIP MESCs Mouse	2/1458	0.01515959173836848	0.2197343000877057	0	0	25.468406593406595	106.6902580183685	CCND1;CCNE1
JUN 21703547 ChIP-Seq K562 Human	2/1585	0.01783685705046308	0.2197343000877057	0	0	23.26468730259002	93.67499219606236	CCND1;CDC25A
NOTCH1 17114293 ChIP-ChIP T-ALL Human	1/134	0.019966471990595865	0.2197343000877057	0	0	74.67669172932331	292.262229105573	CDC25A
NR0B1 18358816 ChIP-ChIP MESCs Mouse	2/1691	0.020227453460053245	0.2197343000877057	0	0	21.679100059206633	84.56398027547749	CCNE1;CDC25A
CREM 20920259 ChIP-Seq GC1-SPG Mouse	3/5776	0.024078433933921867	0.2197343000877057	0	0	42672.0	159014.59206230292	CCND1;CCNE1;CDC25A
PRDM14 21183938 ChIP-Seq MESCs Mouse	2/1944	0.02649606938174934	0.2197343000877057	0	0	18.594232749742535	67.51117571397505	CCND1;CCNE1
OCT4 18692474 ChIP-Seq MEFs Mouse	2/1992	0.02777342062278641	0.2197343000877057	0	0	18.09748743718593	64.85552792036646	CCND1;CDC25A
PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse	2/2000	0.02798900807181444	0.2197343000877057	0	0	18.017017017017018	64.4278333553692	CCND1;CCNE1
SOX2 27498859 Chip-Seq STOMACH Mouse	2/2000	0.02798900807181444	0.2197343000877057	0	0	18.017017017017018	64.4278333553692	CCND1;CDC25A
ELK3 25401928 ChIP-Seq HUVEC Human	2/2000	0.02798900807181444	0.2197343000877057	0	0	18.017017017017018	64.4278333553692	CCND1;CCNE1
FOXH1 21741376 ChIP-Seq ESCs Human	2/2000	0.02798900807181444	0.2197343000877057	0	0	18.017017017017018	64.4278333553692	CCND1;CDC25A
KDM2B 26808549 Chip-Seq K562 Human	2/2000	0.02798900807181444	0.2197343000877057	0	0	18.017017017017018	64.4278333553692	CCND1;CCNE1
ZFP281 18757296 ChIP-ChIP E14 Mouse	2/2004	0.02809708989263906	0.2197343000877057	0	0	17.977022977022976	64.21553089256368	CCND1;CCNE1
PPARD 23176727 ChIP-Seq KERATINOCYTES Mouse	1/194	0.028819888597292943	0.2197343000877057	0	0	51.30569948186528	181.9653884070142	CCND1
DMRT1 23473982 ChIP-Seq TESTES Mouse	2/2072	0.02996376819377805	0.2197343000877057	0	0	17.320772946859904	60.757224569721444	CCND1;CDC25A
SCL 19346495 ChIP-Seq HPC-7 Human	1/252	0.03732735843592945	0.2627846033889433	0	0	39.33466135458168	129.3334974469934	CCNE1
AR 21909140 ChIP-Seq LNCAP Human	1/298	0.044039226345985824	0.2946586383264309	0	0	33.16498316498316	103.56344836169372	CDC25A
HCFC1 20581084 ChIP-Seq MESCs Mouse	1/306	0.04520331383416838	0.2946586383264309	0	0	32.281967213114754	99.96385156607936	CDC25A
ERG 21242973 ChIP-ChIP JURKAT Human	1/321	0.04738343015707515	0.29783870384447236	0	0	30.7453125	93.75729814877062	CCND1
MYCN 21190229 ChIP-Seq SHEP-21N Human	1/373	0.054915470981939614	0.32357458726206845	0	0	26.377688172043012	76.54700037851147	CDC25A
RCOR3 21632747 ChIP-Seq MESCs Mouse	2/2851	0.05515475919239803	0.32357458726206845	0	0	12.037908037908037	34.881189693730434	CCND1;CCNE1
RARG 19884340 ChIP-ChIP MEFs Mouse	1/390	0.05736922991713092	0.32425080025685815	0	0	25.203084832904885	72.036646240469	CCND1
RCOR2 21632747 ChIP-Seq MESCs Mouse	1/401	0.058954690955792394	0.32425080025685815	0	0	24.49625	69.34854276226908	CCND1
VDR 20736230 ChIP-Seq LYMPHOBLASTOID Human	1/483	0.07071759820774742	0.32570648609302505	0	0	20.243775933609957	53.62699373985084	CDC25A
CDX2 20551321 ChIP-Seq CACO-2 Human	1/504	0.07371420173852128	0.32570648609302505	0	0	19.37773359840954	50.528599180478096	CCND1
ASH2L 23239880 ChIP-Seq MESCs Mouse	2/3336	0.07417102739459633	0.32570648609302505	0	0	9.995800839832034	26.002893096111137	CCND1;CCNE1
NANOG 18555785 ChIP-Seq MESCs Mouse	1/542	0.0791202394900497	0.32570648609302505	0	0	17.981515711645102	45.615267471151334	CCNE1
POU5F1 18700969 ChIP-ChIP MESCs Mouse	1/567	0.08266534745366864	0.32570648609302505	0	0	17.165194346289752	42.79205329236858	CCND1
RUNX 20019798 ChIP-Seq JUKART Human	1/616	0.08958734385542565	0.32570648609302505	0	0	15.757723577235772	38.01615767277185	CCND1
KDM5B 21448134 ChIP-Seq MESCs Mouse	2/3724	0.0910854571444914	0.32570648609302505	0	0	8.745298226759807	20.953359584709496	CCNE1;CDC25A
TCF4 23295773 ChIP-Seq U87 Human	2/3812	0.09512205842115712	0.32570648609302505	0	0	8.497112860892388	19.99026001865253	CCND1;CDC25A
P53 22127205 ChIP-Seq FIBROBLAST Human	1/679	0.0984357716703365	0.32570648609302505	0	0	14.247050147492626	33.029663066918545	CDC25A
AHR 22903824 ChIP-Seq MCF-7 Human	1/690	0.09997483174103489	0.32570648609302505	0	0	14.011611030478955	32.26645361001221	CCND1
E2F1 18555785 ChIP-Seq MESCs Mouse	2/4172	0.11237307286714504	0.32570648609302505	0	0	7.590887290167866	16.59315535518177	CCND1;CDC25A
MYC 22102868 ChIP-Seq BL Human	1/797	0.11485440456366108	0.32570648609302505	0	0	12.060929648241206	26.100937242538645	CDC25A
POU5F1 18692474 ChIP-Seq MESCs Mouse	2/4232	0.11536029818974307	0.32570648609302505	0	0	7.4548463356973995	16.10019451044166	CCND1;CDC25A
SIN3B 21632747 ChIP-Seq MESCs Mouse	2/4302	0.11888474421045775	0.32570648609302505	0	0	7.300930232558139	15.548066800126257	CCNE1;CDC25A
TP53 18474530 ChIP-ChIP U2OS Human	1/827	0.11899660866726207	0.32570648609302505	0	0	11.604721549636803	24.7025098797001	CCND1
THAP11 20581084 ChIP-Seq MESCs Mouse	1/864	0.12408750399174058	0.32570648609302505	0	0	11.085747392815758	23.133386073713524	CDC25A
DNAJC2 21179169 ChIP-ChIP NT2 Human	1/899	0.12888513004875216	0.32570648609302505	0	0	10.634187082405345	21.787681249984914	CCND1
TAF7L 23326641 ChIP-Seq C3H10T1-2 Mouse	1/912	0.13066263368061715	0.32570648609302505	0	0	10.47530186608123	21.318670150647737	CDC25A
NR3C1 23031785 ChIP-Seq PC12 Mouse	1/918	0.13148220379051936	0.32570648609302505	0	0	10.40348964013086	21.10747127092708	CDC25A
PHC1 16625203 ChIP-ChIP MESCs Mouse	1/922	0.1320282975921595	0.32570648609302505	0	0	10.35613463626493	20.968469725332167	CCND1
FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human	1/932	0.13339253054782674	0.32570648609302505	0	0	10.23952738990333	20.62710953949354	CDC25A
NR1I2 20693526 ChIP-Seq LIVER Mouse	1/939	0.13434664257644735	0.32570648609302505	0	0	10.159381663113006	20.39325124571634	CCND1
CREB1 15753290 ChIP-ChIP HEK293T Human	1/957	0.1367968573073679	0.32570648609302505	0	0	9.958682008368202	19.810390313968004	CDC25A
