Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mRNA splicing, via spliceosome (GO:0000398)	18/274	6.68821929468298E-8	1.4145583808254503E-4	0	0	5.223520992366412	86.29430664129183	DDX17;PRMT7;SF3B3;SCAF11;CSTF3;PRCC;CWC25;PRPF19;SRPK1;SFPQ;SNW1;CLNS1A;PCBP1;NOVA2;SYMPK;RNPS1;PABPC1;SRSF12
protein phosphorylation (GO:0006468)	23/496	5.753263859610868E-7	5.802019008171845E-4	0	0	3.6416367091419124	52.324231893457245	ACVRL1;SMG1;USP15;DYRK2;CTBP1;CSNK2A2;PIK3CD;ACVR2B;HIPK3;UHMK1;SRPK1;TGFBR3;SNRK;EFEMP1;CDK6;CREB1;ABI2;INCENP;TAOK1;AKT3;PIM1;BIRC6;MAP4K4
negative regulation of intracellular signal transduction (GO:1902532)	14/198	8.229814195988433E-7	5.802019008171845E-4	0	0	5.588100686498856	78.29114705728138	CAV1;PDE2A;TNFAIP3;RORA;ADIPOR1;TNIP1;DDIT4;BCL2;SH3BP4;FNIP1;SH2B3;BCL2L2;SHANK2;MCL1
cellular response to organic cyclic compound (GO:0071407)	12/150	1.3902697439669649E-6	7.351051271225327E-4	0	0	6.353666450356911	85.6856268810119	LARP1;CASP3;NCOA3;ZNF703;PDE2A;GNB1;CYP1B1;MSN;LCOR;RORA;AHR;ATP1A1
regulation of gene expression (GO:0010468)	35/1079	3.2791304543319677E-6	0.0013870721821824224	0	0	2.5555555555555554	32.271382483370395	ACVRL1;AHNAK;HP1BP3;PIK3CD;TULP3;BAZ2A;RORA;AHR;HNRNPLL;SBNO1;LARP1;EFEMP1;MTA1;PCBP1;ZNF703;SOX4;TRIM44;CREBBP;MAP2K2;BTN2A1;ZBTB38;PDE2A;MSN;ACVR2B;FOXP1;SLC7A5;SFPQ;CDK6;RBL1;NOVA2;RBM12B;RLIM;SPRY2;CGGBP1;TNRC6B
regulation of transcription, DNA-templated (GO:0006355)	55/2244	2.3898067880671926E-5	0.007892549711388105	0	0	1.957677275265215	20.833039600575084	ATF1;ACVRL1;SETD5;ZNF770;HP1BP3;RORA;AHR;CHD2;CHD1;ELK4;HOXA9;EFEMP1;CCNL2;ZNF367;SOX4;RNF111;DDX17;SMARCC1;MAP2K2;ZBTB38;FOXP1;EID1;SFPQ;CREB1;PRKAR1A;LCOR;NFIX;CTBP1;SHOX2;TULP3;BAZ2A;BCL10;SBNO1;BCLAF1;ZNF703;HIVEP1;PLAGL2;E2F3;TRIM44;CREBBP;PHC2;CBX5;FZD4;CDKN2A;FOXJ3;NR2F1;IRF2BP2;SOD2;ACVR2B;SNW1;SP2;RLIM;TCF4;QRICH1;MAMLD1
negative regulation of transcription, DNA-templated (GO:0045892)	30/948	2.765930330489207E-5	0.007892549711388105	0	0	2.457777777777778	25.79572567193517	NFIX;CTBP1;SHOX2;AHR;ELK4;BCLAF1;MTA1;ZNF703;HIVEP1;FNIP1;CREBBP;PHC2;CBX5;USP9X;CDKN2A;ZBTB38;CAV1;PDE2A;NR2F1;IRF2BP2;ACVR2B;FOXP1;EID1;SFPQ;SNW1;CREB1;SP2;RLIM;LCOR;CGGBP1
regulation of transcription by RNA polymerase II (GO:0006357)	54/2206	2.98536159296004E-5	0.007892549711388105	0	0	1.950587229002862	20.323567407265863	ATF1;ACVRL1;ZNF770;RORA;AHR;CHD2;CHD1;ELK4;HOXA9;CCNL2;ZNF367;SOX4;RNF111;DDX17;SMARCC1;NCOA3;ZBTB38;FOXP1;EID1;SFPQ;RBL1;CREB1;PRKAR1A;LCOR;CGGBP1;NFIX;CTBP1;SHOX2;RPAP2;BCLAF1;MTA1;PCBP1;HIVEP1;PLAGL2;E2F3;FNIP1;CREBBP;CBX5;USP9X;CDKN2A;CAV1;PDE2A;FOXJ3;NR2F1;IRF2BP2;SOD2;ACVR2B;SNW1;SP2;TNIP1;TCF4;MAMLD1;LPIN2;TNRC6B
cellular response to oxygen-containing compound (GO:1901701)	15/323	5.4479897656853185E-5	0.011662911606176314	0	0	3.567507963734379	35.02464721402142	FZD4;NCOA3;PDE2A;TNFAIP3;RORA;BCL10;AHR;IPO5;SNW1;CREB1;ZNF703;GNB1;LCOR;SH3BP4;SLC38A9
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	13/251	5.711485019215801E-5	0.011662911606176314	0	0	3.985553772070626	38.94063951110018	SF3B3;CSTF3;PRCC;CWC25;PRPF19;SFPQ;SNW1;PCBP1;NOVA2;SYMPK;RNPS1;PABPC1;SRSF12
cellular response to lipid (GO:0071396)	12/219	6.422912395850653E-5	0.011662911606176314	0	0	4.220852260436946	40.74411397683811	SNW1;CREB1;FZD4;NCOA3;ZNF703;MSN;TNFAIP3;LCOR;RORA;BCL10;AHR;ATP1A1
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	6/51	7.5739193370452E-5	0.011662911606176314	0	0	9.574209245742093	90.8421537251906	DYRK2;SNW1;DDIT4;BCL2;BCL2L2;MCL1
negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	4/17	7.75046127682903E-5	0.011662911606176314	0	0	21.96989966555184	207.94890340724402	DDIT4;SPRY2;CALM1;EIF4G1
negative regulation of cell differentiation (GO:0045596)	11/191	8.301682837690069E-5	0.011662911606176314	0	0	4.439074762494837	41.711620489316665	HOXA9;TRIO;EFEMP1;CDK6;CAV1;NBR1;CRIM1;SPRY2;RORA;TMEM64;ADIPOR1
membrane fission (GO:0090148)	3/7	9.113978755322258E-5	0.011662911606176314	0	0	53.3826714801444	496.6251906747674	TMCC1;CORO1C;SLC25A46
mRNA processing (GO:0006397)	14/300	9.150500848004747E-5	0.011662911606176314	0	0	3.576370997423629	33.25709180289894	SF3B3;SCAF11;CSTF3;PRCC;CWC25;PRPF19;SFPQ;SNW1;PCBP1;NOVA2;SYMPK;RNPS1;PABPC1;SRSF12
establishment of protein localization to organelle (GO:0072594)	7/76	9.374444317021151E-5	0.011662911606176314	0	0	7.30248978075065	67.73014118688069	POM121C;PPP1R10;LAMP2;E2F3;NUP153;TNPO1;IPO5
regulation of autophagy (GO:0010506)	12/231	1.0678203048978666E-4	0.012546888582549933	0	0	3.987119198527908	36.46109226331826	CASP3;CSNK2A2;ORMDL3;BCL2;KLHL22;SH3BP4;VDAC1;SLC38A9;PIK3C2A;MCL1;EIF4G1;UBQLN2
negative regulation of B cell apoptotic process (GO:0002903)	3/8	1.443132632712134E-4	0.015261127590930816	0	0	42.70397111913358	377.65360125294984	ORMDL3;BCL10;FOXP1
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	3/8	1.443132632712134E-4	0.015261127590930816	0	0	42.70397111913358	377.65360125294984	PIK3CD;PIK3C2A;PIK3C2B
regulation of osteoblast differentiation (GO:0045667)	7/83	1.63833116178325E-4	0.01650033527224559	0	0	6.627530364372469	57.76994362193185	CDK6;NBR1;CRIM1;TMEM64;NPNT;IL6ST;ACVR2B
spliceosomal snRNP assembly (GO:0000387)	5/38	1.78436257820232E-4	0.01714876991992042	0	0	10.846831955922864	93.62203417459769	PRMT7;CLNS1A;PRPF19;AAR2;SRSF12
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	4/21	1.864878052757303E-4	0.01714876991992042	0	0	16.797101449275363	144.23914082458296	CASP3;BCL2;BCL2L2;MCL1
positive regulation of transcription by RNA polymerase II (GO:0045944)	27/908	1.9671446245027985E-4	0.01733546200343091	0	0	2.2820501316775315	19.474461992650205	ATF1;ACVRL1;NFIX;PLXND1;MEPCE;RORA;AHR;ELK4;BCLAF1;PCBP1;HIVEP1;E2F3;SOX4;RNF111;DDX17;CREBBP;NCOA3;ZBTB38;FOXJ3;NR2F1;SFPQ;SNW1;RBL1;CREB1;TNIP1;TCF4;LPIN2
positive regulation of smooth muscle cell apoptotic process (GO:0034393)	3/9	2.1422911497576177E-4	0.018123783126949445	0	0	35.584837545126355	300.6372362020357	CDKN2A;E2F3;SOD2
protein import (GO:0017038)	7/89	2.532090758982325E-4	0.020124414701467735	0	0	6.140712945590995	50.853055557414216	POM121C;PPP1R10;LAMP2;E2F3;NUP153;TNPO1;IPO5
negative regulation of transcription by RNA polymerase II (GO:0000122)	22/684	2.6956318358208314E-4	0.020124414701467735	0	0	2.454835007845617	20.175571498219668	CREBBP;NFIX;CBX5;CTBP1;USP9X;CAV1;SHOX2;PDE2A;NR2F1;IRF2BP2;ACVR2B;FOXP1;ELK4;EID1;SFPQ;SNW1;MTA1;SP2;HIVEP1;LCOR;FNIP1;CGGBP1
mitotic cell cycle checkpoint signaling (GO:0007093)	4/23	2.699014488825025E-4	0.020124414701467735	0	0	15.027459954233409	123.48745594771114	WEE1;INTS3;PRCC;ZWINT
positive regulation of transcription, DNA-templated (GO:0045893)	32/1183	2.78932177009309E-4	0.020124414701467735	0	0	2.0816681146828846	17.03749990412515	ATF1;ACVRL1;NFIX;RORA;BCL10;AHR;ELK4;BCLAF1;DHX33;PCBP1;HIVEP1;E2F3;SOX4;RNF111;TRIM44;DDX17;SMARCC1;CREBBP;MAP2K2;FZD4;NCOA3;ZBTB38;FOXJ3;NR2F1;SFPQ;SNW1;RBL1;CREB1;TNIP1;TCF4;QRICH1;LPIN2
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	5/42	2.889193373440147E-4	0.020124414701467735	0	0	9.672235872235872	78.82256132192282	SMG1;PIK3CD;PIK3C2A;FAM126B;PIK3C2B
BMP signaling pathway (GO:0030509)	6/65	2.9496778049432616E-4	0.020124414701467735	0	0	7.297166893480144	59.31607499612199	ACVRL1;TGFBR3;USP15;USP9X;HIVEP1;ACVR2B
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	3/11	4.12148446118974E-4	0.026414968592170608	0	0	26.685920577617328	207.99345322377886	MAP2K2;RNF13;NBR1
negative regulation of receptor signaling pathway via STAT (GO:1904893)	3/11	4.12148446118974E-4	0.026414968592170608	0	0	26.685920577617328	207.99345322377886	CAV1;ADIPOR1;SH2B3
cellular response to BMP stimulus (GO:0071773)	6/71	4.7691131582290337E-4	0.029666689204865898	0	0	6.621560920830994	50.64288983703947	ACVRL1;TGFBR3;USP15;USP9X;HIVEP1;ACVR2B
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	7/100	5.164069298977639E-4	0.02990004843848717	0	0	5.411359250068927	40.95649738493781	TGFBR3;CREBBP;SNW1;CAV1;ZNF703;SPRY2;RNF111
negative regulation of apoptotic process (GO:0043066)	17/485	5.177888352968764E-4	0.02990004843848717	0	0	2.6590296057976666	20.118066572869257	CAV1;CSNK2A2;SOD2;FSTL1;HIPK3;SFPQ;CASP3;PIM1;BCL2;SPRY2;VDAC1;BIRC6;IL6ST;FNIP1;BCL2L2;MAP4K4;MCL1
regulation of B cell apoptotic process (GO:0002902)	3/12	5.438536386772405E-4	0.02990004843848717	0	0	23.719614921780988	178.29632237462823	ORMDL3;FNIP1;FOXP1
cell cycle checkpoint signaling (GO:0000075)	3/12	5.438536386772405E-4	0.02990004843848717	0	0	23.719614921780988	178.29632237462823	WEE1;PRCC;ZWINT
phosphorylation (GO:0016310)	15/400	5.513484109224584E-4	0.02990004843848717	0	0	2.842685616270522	21.32907845653281	ACVRL1;DYRK2;CTBP1;PIK3CD;ACVR2B;HIPK3;SRPK1;SNRK;CDK6;CREB1;TAOK1;AKT3;PIM1;BIRC6;MAP4K4
