Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
semaphorin-plexin signaling pathway (GO:0071526)	4/35	7.406948406083605E-5	0.05638134830188654	0	0	20.48	194.77518195763517	NRP1;SEMA7A;ARHGDIA;FLNA
platelet aggregation (GO:0070527)	4/36	8.291374750277433E-5	0.05638134830188654	0	0	19.839	186.44116228617153	RAP2B;FLNA;MYH9;TLN1
negative regulation of execution phase of apoptosis (GO:1900118)	3/17	1.668485927461891E-4	0.062429131635542805	0	0	33.77040816326531	293.74932166565526	MTRNR2L10;MTRNR2L7;MTRNR2L3
homotypic cell-cell adhesion (GO:0034109)	4/44	1.8361509304571413E-4	0.062429131635542805	0	0	15.8648	136.4796212002307	RAP2B;FLNA;MYH9;TLN1
negative regulation of apoptotic process (GO:0043066)	11/485	3.095740272416232E-4	0.06383303412920124	0	0	3.814757205177716	30.8244334236358	NOTCH2;ITGB1;GREM1;MTRNR2L10;ARHGDIA;FLNA;MTRNR2L7;NAA15;SLC30A10;MTRNR2L3;IGF1R
histone ubiquitination (GO:0016574)	3/21	3.2023909492272245E-4	0.06383303412920124	0	0	26.26058201058201	211.30426761665888	USP22;HUWE1;CDC73
regulation of execution phase of apoptosis (GO:1900117)	3/22	3.6906007143765646E-4	0.06383303412920124	0	0	24.87719298245614	196.6430439491986	MTRNR2L10;MTRNR2L7;MTRNR2L3
positive regulation of MAPK cascade (GO:0043410)	8/274	4.091369466366573E-4	0.06383303412920124	0	0	4.872926116945256	38.01594123043329	NOTCH2;APP;NRP1;SEMA7A;LAMTOR1;SLC30A10;MAP2K7;IGF1R
blood vessel endothelial cell migration (GO:0043534)	3/23	4.2242449056089054E-4	0.06383303412920124	0	0	23.632142857142856	183.60993032952388	GREM1;NRP1;MYH9
axo-dendritic transport (GO:0008088)	2/6	6.088021738106788E-4	0.06929907979424915	0	0	78.21653543307086	579.116572167144	APP;APBA1
RNA polyadenylation (GO:0043631)	3/26	6.114624687727867E-4	0.06929907979424915	0	0	20.546583850931675	152.03767261589587	APP;CPSF2;CDC73
mRNA polyadenylation (GO:0006378)	3/26	6.114624687727867E-4	0.06929907979424915	0	0	20.546583850931675	152.03767261589587	APP;CPSF2;CDC73
negative regulation of canonical Wnt signaling pathway (GO:0090090)	6/165	7.098042020998825E-4	0.0742564396042954	0	0	6.0475533057217365	43.847914646571844	GREM1;DRAXIN;IGFBP4;PSMD2;KREMEN1;PFDN5
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	11/547	8.417226877416109E-4	0.07686220225100193	0	0	3.3627150265621046	23.80822397423353	BASP1;CREB3L1;KAT6A;EIF2AK1;NONO;TIMELESS;ZKSCAN3;ZNF217;NR1D2;PFDN5;GTPBP4
