Subset	Detail
1	Shared	FLJ32255
2	Shared	LOC153684
3	Shared	LYRM4-AS1
4	Shared	ADAMTS9-AS2
5	Shared	LOC100507156
6	Shared	HIF1A-AS2
7	Shared	MIR548AR
8	Shared	LOC154761
9	IPF Fibroblast 	MIR5087
10	IPF Fibroblast 	LOC148413
11	IPF Fibroblast 	NRSN2-AS1
12	IPF Fibroblast 	HCG4
13	IPF Fibroblast 	LINC01111
14	IPF Fibroblast 	LINC00702
15	IPF Fibroblast 	EPB41L4A-AS1
16	IPF Fibroblast 	MSC-AS1
17	IPF Fibroblast 	LOC730101
18	Normal Fibroblast	FENDRR
19	Normal Fibroblast	HOTAIRM1
20	Normal Fibroblast	SNORD3D
21	Normal Fibroblast	MIR503
22	Normal Fibroblast	LINC00473
23	Normal Fibroblast	PAPPA-AS1
24	Normal Fibroblast	KGFLP1
25	Normal Fibroblast	LINC00578
26	Normal Fibroblast	PAXIP1-AS2
27	Normal Fibroblast	HERC2P7
28	Normal Fibroblast	MFSD14C
29	Normal Fibroblast	NUP50-AS1
30	Normal Fibroblast	ASB16-AS1
31	Normal Fibroblast	LOC389765
32	Normal Fibroblast	AHCTF1P1
33	Normal Fibroblast	HERC2P9
34	Normal Fibroblast	CCT6P1
35	Normal Fibroblast	RASSF8-AS1
36	Normal Fibroblast	HERC2P3
37	Normal Fibroblast	NUDT4P1
38	Normal Fibroblast	XXYLT1-AS2
39	Normal Fibroblast	KGFLP2
40	Normal Fibroblast	MEIS3P1
41	Normal Fibroblast	ZBED5-AS1
42	Normal Fibroblast	MIR635
43	Normal Fibroblast	MBNL1-AS1
44	Normal Fibroblast	RNF217-AS1
45	Normal Fibroblast	GABPB1-AS1
46	Normal Fibroblast	GTF2IP1
47	Normal Fibroblast	MAP3K14-AS1
48	Normal Fibroblast	RNU12
49	Normal Fibroblast	RPL13P5
50	Normal Fibroblast	CCT6P3
51	Normal Fibroblast	STX16-NPEPL1
52	Normal Fibroblast	LOC344887
53	Normal Fibroblast	LOC100129550
54	Normal Fibroblast	LOC103021295
55	Normal Fibroblast	TBX2-AS1
56	Normal Fibroblast	ZNF625-ZNF20
57	Normal Fibroblast	LOC101928161
58	Normal Fibroblast	SNORD114-30
59	Normal Fibroblast	LIMD1-AS1
60	Normal Fibroblast	MIR654
61	Normal Fibroblast	MEG3
62	Normal Fibroblast	SNORD114-13
63	Normal Fibroblast	MIR1244-1
64	Normal Fibroblast	PPP4R1L
65	Normal Fibroblast	SNORD89
66	Normal Fibroblast	SIKE1andCSDE1andNRAS
67	Normal Fibroblast	SNORD114-10
68	Normal Fibroblast	MIR24-2
69	Normal Fibroblast	LINC00152
70	Normal Fibroblast	AGAP2-AS1
71	Normal Fibroblast	EFTUD1P1
72	Normal Fibroblast	ZMIZ1-AS1
73	Normal Fibroblast	CD99P1
74	Normal Fibroblast	SNORD114-7
75	Normal Fibroblast	TPT1-AS1
76	Normal Fibroblast	PLCXD1
77	Normal Fibroblast	LOC101929771
78	Normal Fibroblast	LINC00520
79	Normal Fibroblast	RPSAP52
80	Normal Fibroblast	SNORD114-17
81	Normal Fibroblast	LOC541472
82	Normal Fibroblast	TCAF2P1
83	Normal Fibroblast	LOC101929705
84	Normal Fibroblast	LINC00260
85	Normal Fibroblast	FER1L4
86	Normal Fibroblast	STXBP5-AS1
87	Normal Fibroblast	SNORD114-2
88	Normal Fibroblast	SNORA11
89	Normal Fibroblast	LOC100507065
90	Normal Fibroblast	MIR590
91	Normal Fibroblast	FAM41C
92	Normal Fibroblast	LINC01125
93	Normal Fibroblast	LIMS3-LOC440895
94	Normal Fibroblast	SLC6A10P
95	Normal Fibroblast	MIR6809
96	Normal Fibroblast	LINC01291
97	Normal Fibroblast	LUCAT1
