PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100006432.hg.1	NR_046018	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1	-0.306689465346047	2.1845185943042	-1.80586449514217	0.0787151411884524	0.588039119624024	-4.59245651312456
TC0100006434.hg.1	NR_036267	MIR1302-10	microRNA 1302-10	0.0813436471156148	1.82553803858701	0.756986790916598	0.45363800741771	0.893602597313374	-5.84141350377815
TC0100006467.hg.1	NR_103536	FAM87B	family with sequence similarity 87, member B	-0.110475569300613	3.24642576685082	-0.809831768912275	0.422984186509141	0.882940176653445	-5.80162187633645
TC0100006469.hg.1	NR_047519	LINC01128	long intergenic non-protein coding RNA 1128	0.0020617685743467	6.1892922287348	0.00597806037854121	0.995260909573281	0.999482626115827	-6.11921545467489
TC0100006490.hg.1	NR_038869	LINC01342	long intergenic non-protein coding RNA 1342	-0.121095312077744	2.14722532944331	-0.999882830754227	0.32357290280656	0.839754632346873	-5.63726405142965
TC0100006510.hg.1	NR_015434	LOC148413	uncharacterized LOC148413	-0.724001659649149	4.68231106535135	-4.66394287538016	3.63957628821895e-05	0.00901737521623104	2.21312011473407
TC0100006605.hg.1	NR_036215	MIR4251	microRNA 4251	0.184914530115179	1.89995864274739	1.5726326146806	0.123937648913389	0.669772107910265	-4.94966415504357
TC0100006629.hg.1	NR_024455	LINC01134	long intergenic non-protein coding RNA 1134	-0.00155550747817079	3.64218499958869	-0.00998843352954153	0.992081784304741	0.999018806708657	-6.11918417052788
TC0100006631.hg.1	NR_040065	LINC01346	long intergenic non-protein coding RNA 1346	-0.0852835364278404	3.01498879103344	-0.722330892513165	0.474429739853964	0.900118954486165	-5.86609570473578
TC0100006639.hg.1	NR_027088	LOC284661	uncharacterized LOC284661	-0.101095025904	1.29714489653033	-0.788265634263909	0.435339196665282	0.886458198494165	-5.81817443740345
