PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100006432.hg.1	NR_046018	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1	-0.311607434579245	2.1845185943042	-1.83482273150159	0.0742204927618112	0.444760999905498	-4.65886175584909
TC0100006434.hg.1	NR_036267	MIR1302-10	microRNA 1302-10	-0.00186809210952532	1.82553803858701	-0.0173845297238306	0.986219091185705	0.997811109223962	-6.25177222685474
TC0100006467.hg.1	NR_103536	FAM87B	family with sequence similarity 87, member B	-0.0540338511114289	3.24642576685082	-0.396090551999248	0.694211751441112	0.92134096291439	-6.17454272851348
TC0100006469.hg.1	NR_047519	LINC01128	long intergenic non-protein coding RNA 1128	0.0364095930742927	6.1892922287348	0.105568951076483	0.916469179701919	0.983260448123716	-6.24641414147918
TC0100006490.hg.1	NR_038869	LINC01342	long intergenic non-protein coding RNA 1342	-0.0865392112618295	2.14722532944331	-0.714553437643927	0.47916951272569	0.84020162050916	-6.00127478527683
TC0100006510.hg.1	NR_015434	LOC148413	uncharacterized LOC148413	0.0277653947323344	4.68231106535135	0.17886176532626	0.858978530837745	0.970249776471526	-6.23611666568196
TC0100006605.hg.1	NR_036215	MIR4251	microRNA 4251	-0.0298604228943933	1.89995864274739	-0.253952325448023	0.800875638687482	0.954137016975846	-6.22007424279455
TC0100006629.hg.1	NR_024455	LINC01134	long intergenic non-protein coding RNA 1134	-0.0390557906560018	3.64218499958869	-0.250790288305082	0.80330184851208	0.954805632390958	-6.22086172515521
TC0100006631.hg.1	NR_040065	LINC01346	long intergenic non-protein coding RNA 1346	0.0717220415955593	3.01498879103344	0.607468316729823	0.547085190879211	0.869940059786699	-6.07043064124861
TC0100006639.hg.1	NR_027088	LOC284661	uncharacterized LOC284661	-0.137061639010147	1.29714489653033	-1.06870717764275	0.29181680326178	0.72873112227697	-5.69588472301453
TC0100006668.hg.1	NR_039612	MIR4417	microRNA 4417	-0.204288168625008	5.89579437709244	-1.88906779552569	0.0663862759739545	0.42482906925374	-4.56752338193708
TC0100006682.hg.1	NR_103534	LINC00337	long intergenic non-protein coding RNA 337	-0.301251688317738	4.03883816079297	-2.15650007895941	0.0373135061850162	0.331884249992953	-4.08591377694178
TC0100006704.hg.1	NR_104620	LOC100505887	uncharacterized LOC100505887	-0.0377088309302716	2.33914743902978	-0.215977967780122	0.830138278456324	0.962894056350511	-6.2288811222084
TC0100006736.hg.1	NR_125998	LOC102724539	uncharacterized LOC102724539	-0.0721430603525137	2.39272919518583	-0.519586135216685	0.606308743475065	0.891259822546917	-6.11896972627389
