PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100006432.hg.1	NR_046018	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1	-0.307443893038054	2.1845185943042	-1.81030675461662	0.078011053104599	0.469226321714899	-4.78573331131724
TC0100006434.hg.1	NR_036267	MIR1302-10	microRNA 1302-10	0.0327605778412627	1.82553803858701	0.304871069444222	0.762096514995773	0.94851019301366	-6.30281616181912
TC0100006467.hg.1	NR_103536	FAM87B	family with sequence similarity 87, member B	0.0203889952908325	3.24642576685082	0.14945979665232	0.881966327883525	0.978102264940688	-6.33789276110092
TC0100006469.hg.1	NR_047519	LINC01128	long intergenic non-protein coding RNA 1128	0.304589790009035	6.1892922287348	0.883152540986887	0.382602410423627	0.798258217056033	-5.96491411503509
TC0100006490.hg.1	NR_038869	LINC01342	long intergenic non-protein coding RNA 1342	0.19173977807414	2.14722532944331	1.58319350914158	0.121509228475205	0.555273749305953	-5.14176614798704
TC0100006510.hg.1	NR_015434	LOC148413	uncharacterized LOC148413	-0.496713899163925	4.68231106535135	-3.19977892347724	0.00274361035713249	0.0833477508442044	-1.84606835042255
TC0100006605.hg.1	NR_036215	MIR4251	microRNA 4251	0.17871769737193	1.89995864274739	1.51993074601899	0.1366499408673	0.57979461171353	-5.23355104685665
TC0100006629.hg.1	NR_024455	LINC01134	long intergenic non-protein coding RNA 1134	0.279341651875663	3.64218499958869	1.79374613169557	0.0806632389880042	0.475280571897754	-4.8130634773485
TC0100006631.hg.1	NR_040065	LINC01346	long intergenic non-protein coding RNA 1346	-0.0244474496103733	3.01498879103344	-0.207063975491603	0.83704461477552	0.967452491129235	-6.32768351026141
TC0100006639.hg.1	NR_027088	LOC284661	uncharacterized LOC284661	-0.0230461896460388	1.29714489653033	-0.179697459259292	0.858326860423774	0.972766424749764	-6.33294436903797
TC0100006668.hg.1	NR_039612	MIR4417	microRNA 4417	0.0490658327492905	5.89579437709244	0.45371538220343	0.652565632829488	0.915419294516839	-6.24686058987161
TC0100006682.hg.1	NR_103534	LINC00337	long intergenic non-protein coding RNA 337	-0.406323662856636	4.03883816079297	-2.90865427485745	0.00598242896217238	0.13318872053219	-2.55377997269037
TC0100006704.hg.1	NR_104620	LOC100505887	uncharacterized LOC100505887	-0.07744257359602	2.33914743902978	-0.443553651818568	0.65983313885928	0.9175131926661	-6.25137290442083
TC0100006736.hg.1	NR_125998	LOC102724539	uncharacterized LOC102724539	0.133485722061409	2.39272919518583	0.961386030667322	0.342321500008675	0.773859882305315	-5.89470844793836
TC0100006743.hg.1	NR_125999	LOC102724552	uncharacterized LOC102724552	-0.123882865344222	1.55206612891344	-0.91093680595355	0.367963003176114	0.788941133243248	-5.94063300328549
TC0100006758.hg.1	NR_038351	ENO1-AS1	ENO1 antisense RNA 1	-0.206120086032286	3.18189283811214	-1.70804193582241	0.095632399811955	0.507536140148786	-4.95109986330131
TC0100006804.hg.1	NR_049882	MIR5697	microRNA 5697	-0.238585557793056	0.889614562446715	-2.29966319980151	0.0269444314257594	0.296130575590232	-3.88749491819616
TC0100006813.hg.1	NR_036176	MIR1273D	microRNA 1273d	0.0254493524953574	10.0561816651074	0.35081210561952	0.727630173233113	0.938889648877744	-6.287871811829
TC0100006815.hg.1	NR_104080	RNU6-9	RNA, U6 small nuclear 9	0.126673524391867	7.20131151133084	1.00276860502046	0.322196019434127	0.760547997782027	-5.85527987720108
TC0100006847.hg.1	NR_046600	MTOR-AS1	MTOR antisense RNA 1	0.00139722376250262	1.52356774444757	0.00938494239429072	0.992560180083561	0.998800737692609	-6.34895979723284
TC0100006860.hg.1	NR_104624	LOC101929181	uncharacterized LOC101929181	0.164507241796134	3.38219196334711	1.15509089731475	0.255129339935947	0.709533569913466	-5.69668054130536
TC0100006873.hg.1	NR_002754	RNU5E-1	RNA, U5E small nuclear 1	0.0617920098255329	5.25496280205334	0.145053854708802	0.885420522573964	0.978793723452566	-6.33853800152895
TC0100006878.hg.1	NR_106787	MIR6729	microRNA 6729	0.0628757350054556	5.61109333867043	0.820121833799837	0.417165041747999	0.817374000123342	-6.01731676046191
