PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100006432.hg.1	NR_046018	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1	-0.000754427692006843	2.1845185943042	-0.00444225947444911	0.99647840175298	0.999535559562151	-6.05275540734471
TC0100006434.hg.1	NR_036267	MIR1302-10	microRNA 1302-10	-0.0485830692743521	1.82553803858701	-0.452115721472376	0.653707437540861	0.923967875968634	-5.95387819582439
TC0100006467.hg.1	NR_103536	FAM87B	family with sequence similarity 87, member B	0.130864564591445	3.24642576685082	0.959291565564595	0.343361859987641	0.79629166202526	-5.61184592089749
TC0100006469.hg.1	NR_047519	LINC01128	long intergenic non-protein coding RNA 1128	0.302528021434688	6.1892922287348	0.877174480608346	0.385800099608762	0.820326299557376	-5.68335775385566
TC0100006490.hg.1	NR_038869	LINC01342	long intergenic non-protein coding RNA 1342	0.312835090151884	2.14722532944331	2.5830763398958	0.0136859219279813	0.284269296251259	-3.07983322647171
TC0100006510.hg.1	NR_015434	LOC148413	uncharacterized LOC148413	0.227287760485224	4.68231106535135	1.46416395190292	0.151218432448611	0.638471178907597	-5.04204814945922
TC0100006605.hg.1	NR_036215	MIR4251	microRNA 4251	-0.00619683274324911	1.89995864274739	-0.052701868661614	0.958240318419538	0.992305105488674	-6.05141763145755
TC0100006629.hg.1	NR_024455	LINC01134	long intergenic non-protein coding RNA 1134	0.280897159353834	3.64218499958869	1.80373456522511	0.0790546311245901	0.529703821875603	-4.54064789929247
TC0100006631.hg.1	NR_040065	LINC01346	long intergenic non-protein coding RNA 1346	0.0608360868174671	3.01498879103344	0.515266917021563	0.609294879788255	0.911251834589362	-5.92443022686938
TC0100006639.hg.1	NR_027088	LOC284661	uncharacterized LOC284661	0.0780488362579614	1.29714489653033	0.608568175004618	0.54636322654468	0.890066290941922	-5.87399991574331
TC0100006668.hg.1	NR_039612	MIR4417	microRNA 4417	-0.108610879030631	5.89579437709244	-1.00433282652368	0.32145134832647	0.783146813496687	-5.5700391278427
TC0100006682.hg.1	NR_103534	LINC00337	long intergenic non-protein coding RNA 337	-0.247572118799929	4.03883816079297	-1.7722366859471	0.0842211881917257	0.539108414047108	-4.59089813023534
