PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC0100006432.hg.1	NR_046018	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1	0.00416354154119158	2.1845185943042	0.0245159768849697	0.980566906964425	0.996289189377303	-6.45021395991936
TC0100006434.hg.1	NR_036267	MIR1302-10	microRNA 1302-10	0.0346286699507881	1.82553803858701	0.322255599168053	0.748991983347911	0.941701261166854	-6.39862383316748
TC0100006467.hg.1	NR_103536	FAM87B	family with sequence similarity 87, member B	0.0744228464022614	3.24642576685082	0.545550348651568	0.588503218565807	0.889759708970821	-6.30217703282888
TC0100006469.hg.1	NR_047519	LINC01128	long intergenic non-protein coding RNA 1128	0.268180196934742	6.1892922287348	0.777583589910404	0.441538156505252	0.826440800340881	-6.15037087248203
TC0100006490.hg.1	NR_038869	LINC01342	long intergenic non-protein coding RNA 1342	0.278278989335969	2.14722532944331	2.2977469467855	0.0270641629442772	0.270661226510297	-3.97799361306957
TC0100006510.hg.1	NR_015434	LOC148413	uncharacterized LOC148413	-0.52447929389626	4.68231106535135	-3.3786406888035	0.00167184140681258	0.0460969069928879	-1.46184741259486
TC0100006605.hg.1	NR_036215	MIR4251	microRNA 4251	0.208578120266323	1.89995864274739	1.77388307146701	0.0839442656373763	0.466924515500003	-4.9382095988108
TC0100006629.hg.1	NR_024455	LINC01134	long intergenic non-protein coding RNA 1134	0.318397442531665	3.64218499958869	2.04453642000065	0.0477397467864303	0.359602957431374	-4.46684708539848
TC0100006631.hg.1	NR_040065	LINC01346	long intergenic non-protein coding RNA 1346	-0.0961694912059325	3.01498879103344	-0.814532292221426	0.420319883170939	0.815295644990869	-6.12142182140959
TC0100006639.hg.1	NR_027088	LOC284661	uncharacterized LOC284661	0.114015449364108	1.29714489653033	0.889009718383457	0.379485803119583	0.792040251191522	-6.05913592139222
TC0100006668.hg.1	NR_039612	MIR4417	microRNA 4417	0.253354001374299	5.89579437709244	2.34278317772912	0.0243729086212126	0.255583040333319	-3.88649425354101
TC0100006682.hg.1	NR_103534	LINC00337	long intergenic non-protein coding RNA 337	-0.105071974538898	4.03883816079297	-0.75215419589804	0.4565048919864	0.834555712423288	-6.16953840432496
TC0100006704.hg.1	NR_104620	LOC100505887	uncharacterized LOC100505887	-0.0397337426657485	2.33914743902978	-0.227575684038446	0.82117311301309	0.962220798245033	-6.42461824948871
TC0100006736.hg.1	NR_125998	LOC102724539	uncharacterized LOC102724539	0.205628782413923	2.39272919518583	1.48097216588401	0.146703300828543	0.582044788775303	-5.38375480363879
TC0100006743.hg.1	NR_125999	LOC102724552	uncharacterized LOC102724552	0.0261210682533266	1.55206612891344	0.19207371751262	0.848687892918483	0.968946321357539	-6.43206412328523
TC0100006758.hg.1	NR_038351	ENO1-AS1	ENO1 antisense RNA 1	0.0708711471051231	3.18189283811214	0.587283333834957	0.560421442323639	0.879229793095197	-6.27872091823578
TC0100006804.hg.1	NR_049882	MIR5697	microRNA 5697	-0.0716798374532611	0.889614562446715	-0.690903028179087	0.4937464026625	0.851113123152607	-6.21316308400325
TC0100006813.hg.1	NR_036176	MIR1273D	microRNA 1273d	0.127282309452255	10.0561816651074	1.75455053307178	0.0872447390803013	0.475237380695552	-4.96974054251002
TC0100006815.hg.1	NR_104080	RNU6-9	RNA, U6 small nuclear 9	0.367037829422746	7.20131151133084	2.90553226466963	0.00603148625461735	0.110357188500183	-2.63895806694423
TC0100006847.hg.1	NR_046600	MTOR-AS1	MTOR antisense RNA 1	-0.0399478206853243	1.52356774444757	-0.268323518373115	0.78987419289609	0.953156673885803	-6.41452401814456
TC0100006860.hg.1	NR_104624	LOC101929181	uncharacterized LOC101929181	0.0459755475254653	3.38219196334711	0.322818228947867	0.748569102431142	0.941557668296369	-6.3984427306604
TC0100006873.hg.1	NR_002754	RNU5E-1	RNA, U5E small nuclear 1	-0.40844205464372	5.25496280205334	-0.958798631385085	0.343607014401654	0.769924370479683	-5.99603800234379
TC0100006878.hg.1	NR_106787	MIR6729	microRNA 6729	0.0094880148358456	5.61109333867043	0.123757251117917	0.902147458010342	0.98114057017313	-6.44285274735694
TC0100006891.hg.1	NR_003022	SNORA59B	small nucleolar RNA, H/ACA box 59B	0.295253984662792	4.0682102128071	1.63344496107466	0.110478955235495	0.522031217659939	-5.16052029550901
TC0100006918.hg.1	NR_111947	PRAMEF34P	PRAME family member 34, pseudogene	0.0681008255155395	1.49370186168509	0.67334007262282	0.504728994201696	0.855353230087752	-6.22500605948223
TC0100007008.hg.1	NR_039973_4	MIR5096	Homo sapiens microRNA 5096 (MIR5096), microRNA.	0.0339079398114084	10.8592363495634	0.419395595760111	0.677243989569879	0.921048042336252	-6.36270850628734
TC0100007051.hg.1	NR_037446	MIR3675	microRNA 3675	0.165137723731462	1.44681664412524	1.48125252944885	0.146628906055206	0.581873053531722	-5.38336206875457
TC0100007058.hg.1	NR_027504	MST1P2	macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2	0.0442680803826443	5.50501537329673	0.325779686498049	0.746344524908214	0.940913387007918	-6.39748430087054
TC0100007104.hg.1	NR_039768	MIR3972	microRNA 3972	-0.0123202448797644	4.80880004599064	-0.11307052401241	0.910558642069305	0.982872315317035	-6.4441186539998
TC0100007135.hg.1	NR_125946	LOC101927876	uncharacterized LOC101927876	0.126358932963788	3.79382637790791	0.791738367676011	0.433335205581515	0.821927796376198	-6.13943426770797
TC0100007173.hg.1	NR_077246	RPS14P3	ribosomal protein S14 pseudogene 3	-0.111480631343611	3.53697606141558	-0.932840976817862	0.356680722846339	0.777734408452343	-6.020038843738
TC0100007228.hg.1	NR_038404	LOC100506801	uncharacterized LOC100506801	0.118652253153504	2.72565697742353	0.880907537842505	0.383801287692242	0.794534693019502	-6.06616555192855
TC0100007267.hg.1	NR_023918	LINC00339	long intergenic non-protein coding RNA 339	-0.216667177993612	4.77610453178689	-0.8470939591729	0.402146443859698	0.805281633800553	-6.09483524029164
TC0100007276.hg.1	NR_039613	MIR4418	microRNA 4418	0.277071497378696	5.80867754133151	2.43718239847695	0.0194990930261575	0.225562919952829	-3.69044871172373
TC0100007296.hg.1	NR_039832	MIR4684	microRNA 4684	0.193628814637512	3.14080175835412	1.71174686386423	0.094940483057002	0.491613682985996	-5.03850567646705
TC0100007315.hg.1	NR_033690	ZNF436-AS1	ZNF436 antisense RNA 1	-0.197350837441276	4.70624062570849	-1.63118700261071	0.110956330817161	0.522702570936679	-5.16396549496525
TC0100007321.hg.1	NR_110799	LOC101928163	uncharacterized LOC101928163	-0.00418900903205355	3.65534981487516	-0.0302576954881312	0.976016905119004	0.995277565050244	-6.45005660122731
TC0100007341.hg.1	NR_039615	MIR378F	microRNA 378f	-0.0980415880968211	1.3703114148104	-0.73893591663486	0.464400331493954	0.83782777732016	-6.17925745414589
TC0100007354.hg.1	NR_027087	LOC284632	uncharacterized LOC284632	0.0391486630200075	1.90222209984014	0.302567164993657	0.76383863557801	0.946103772057353	-6.40476333171991
TC0100007384.hg.1	NR_039623	MIR4425	microRNA 4425	-0.34099519511326	2.49324486674282	-2.01928674309005	0.0504160731946155	0.368574628119418	-4.51312330496471
TC0100007470.hg.1	NR_031740	MIR1976	microRNA 1976	0.193931413679433	3.98827330547402	1.24124530898013	0.221979792973955	0.672928386125052	-5.69491150452399
TC0100007508.hg.1	NR_033926	ACTG1P20	actin gamma 1 pseudogene 20	-0.0126299170488791	4.38690758940116	-0.109290580613711	0.913536262580046	0.983555450870362	-6.44453907829026
TC0100007539.hg.1	NR_002997	SCARNA1	small Cajal body-specific RNA 1	-0.00905387680902225	1.17834409726373	-0.0679054130584918	0.946210255068792	0.989465059181614	-6.44820758425177
TC0100007567.hg.1	NR_004407	RNU11	RNA, U11 small nuclear	-0.19651967511851	5.82568602427224	-1.28387012000509	0.206814442790224	0.657247050958561	-5.64323738931227
TC0100007614.hg.1	NR_034182	MATN1-AS1	MATN1 antisense RNA 1	0.142396412533161	2.79353560629612	1.04909123905742	0.300638018084585	0.73925513261129	-5.90768461421728
TC0100007641.hg.1	NR_034112	LINC01225	long intergenic non-protein coding RNA 1225	0.262870333290267	3.49265221814941	1.84063491109112	0.0733451238276613	0.437978655097077	-4.82710410196169
TC0100007643.hg.1	NR_027085	LINC01226	long intergenic non-protein coding RNA 1226	-0.0223931230133307	1.91926143577025	-0.173419513556283	0.863224796669245	0.972459600632303	-6.43547257625188
TC0100007661.hg.1	NR_049850	MIR5585	microRNA 5585	-0.0456532978873936	2.09520588903881	-0.378892646254725	0.70683661344581	0.930277324944995	-6.37881871296692
TC0100007721.hg.1	NR_125978	LOC101929464	uncharacterized LOC101929464	0.0540238075010087	2.8268265143063	0.377003169146476	0.708228867046513	0.93088674020225	-6.37953066615407
TC0100007735.hg.1	NR_038372	CSMD2-AS1	CSMD2 antisense RNA 1	0.0735912529823823	1.4806961782829	0.554215270932774	0.58261737841474	0.887392534751881	-6.29744671496265
TC0100007827.hg.1	NR_036217	MIR4255	microRNA 4255	0.0911139024150118	1.78295836498258	0.605514055325864	0.548369208168476	0.873920334396262	-6.26794168390125
TC0100007863.hg.1	NR_037432	MIR3659	microRNA 3659	-0.0200351623562696	1.58082928396173	-0.143856185689492	0.88635987193459	0.97783828384466	-6.44016270035221
TC0100007913.hg.1	NR_125979	LOC101929516	uncharacterized LOC101929516	0.223431536968375	1.65631470065441	1.25322090665974	0.217637686971276	0.668522939044021	-5.68055550386498
TC0100007969.hg.1	NR_029846	MIR30E	microRNA 30e	0.183358084786672	1.14193305376668	1.30528208002292	0.199497460983198	0.650347472498665	-5.6166764355034
TC0100007970.hg.1	NR_029833	MIR30C1	microRNA 30c-1	-0.0561824695499009	1.79560020525796	-0.425950242136082	0.672501765609367	0.91937108392403	-6.35994906093971
TC0100007982.hg.1	NR_037868	SLFNL1-AS1	SLFNL1 antisense RNA 1	0.0425972503196006	1.06344065091103	0.381758994956947	0.704726501470863	0.929705341472105	-6.37773193195274
TC0100008035.hg.1	NR_104171	LOC339539	uncharacterized LOC339539	0.155555984157227	2.40707412558992	1.12530751131262	0.26738338484756	0.713906764097455	-5.82728046202773
TC0100008044.hg.1	NR_033967	SLC2A1-AS1	SLC2A1 antisense RNA 1	0.381445083425689	2.89949685701762	2.2996870680648	0.0269429430866185	0.270040105954119	-3.97407939367972
TC0100008063.hg.1	NR_106793	MIR6735	microRNA 6735	0.160404587499772	3.85883035427744	0.891392831380181	0.378222403510862	0.791366481769538	-6.05705653206447
TC0100008096.hg.1	NR_049849	MIR5584	microRNA 5584	-0.149537355987735	1.02457229856957	-1.22148328370003	0.229285535447589	0.680254814761598	-5.71832363591896
TC0100008118.hg.1	NR_024270	LINC01144	long intergenic non-protein coding RNA 1144	0.0951311564954787	3.22180273220662	0.734949384288306	0.466796949935297	0.839029818342685	-6.18215579126905
TC0100008144.hg.1	NR_125987	LOC101929626	uncharacterized LOC101929626	0.15819443590684	1.04557319801216	1.24556169714139	0.220407385075094	0.671127822732048	-5.68975177440245
TC0100008160.hg.1	NR_045483	FAAHP1	fatty acid amide hydrolase pseudogene 1	0.0839847976163357	1.96293042817015	0.736723468825764	0.465729528504198	0.838569415268112	-6.18086785608965
TC0100008166.hg.1	NR_038403	MKNK1-AS1	MKNK1 antisense RNA 1	-0.0269609176480632	2.51807777731317	-0.197547196445764	0.844432392148829	0.967808191024418	-6.43099812722689
TC0100008171.hg.1	NR_038827	EFCAB14-AS1	EFCAB14 antisense RNA 1	-0.0812564957312438	1.07054536852195	-0.683260660387784	0.498508987337828	0.853082071636692	-6.2183530135559
TC0100008186.hg.1	NR_047498	LINC00853	long intergenic non-protein coding RNA 853	-0.113868670296397	1.40295839858041	-0.98423643435299	0.331107513821122	0.761239237268198	-5.97190953123728
TC0100008235.hg.1	NR_125988	LOC101929721	uncharacterized LOC101929721	0.236894148218461	1.08197212783977	1.80295988720158	0.0791784136829051	0.454796481326213	-4.89023661931617
TC0100008263.hg.1	NR_039617	MIR4421	microRNA 4421	-0.0738964583349446	1.19484737457091	-0.4531014577231	0.653003739585964	0.913134892451111	-6.34806749415339
TC0100008264.hg.1	NR_106754	MIR6500	microRNA 6500	0.0445936592628415	1.7548670164136	0.222695282888103	0.824942835378467	0.963180739990789	-6.42571632765726
TC0100008278.hg.1	NR_123731	TTC39A-AS1	TTC39A antisense RNA 1	0.0827054416965525	3.43792538863326	0.640152439312384	0.525842323021323	0.864325254908756	-6.246571533151
TC0100008305.hg.1	NR_126385	TXNDC12-AS1	TXNDC12 antisense RNA 1	-0.112895313829804	1.1276068200681	-1.07616415460593	0.28851130016544	0.729542953688556	-5.87973080978424
