DataSetId	Species	SeqType	GeneSymbol	CellTissue	Treatment	Source	MainAccession	SubAccession	FileName-RBP	UniqAccession	Assembly	newFileName	CitationForShort	Citation	PubMedID	Title	mutation
SBDM3	Mus musculus	iCLIP	Nova1-2	brain	rep3	ENA	E-MTAB-1008	ERR102560	mm10_Nova1-2_iCLIP_ERR102560.bed	ERR102560	mm10	NA	Sugimoto Y, et al. Genome Biol 2012	Sugimoto Y, König J, Hussain S, Zupan B, Curk T, Frye M, Ule J. Analysis of CLIP and iCLIP methods for nucleotide-resolution studies of protein-RNA interactions. Genome Biol. 2012 Aug 3;13(8):R67	22863408	Analysis of CLIP and iCLIP methods for nucleotide-resolution studies of protein-RNA interactions	none
SBDM4	Mus musculus	iCLIP	Celf4	brain	rep1	ENA	E-MTAB-1162	ERR136731	mm10_Celf4_iCLIP_ERR136731.bed	ERR136731	mm10	NA	Wagnon JL, et al. PLoS Genet 2012	Wagnon JL, Briese M, Sun W, Mahaffey CL, Curk T, Rot G, Ule J, Frankel WN. CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function. PLoS Genet. 2012;8(11):e1003067	23209433	CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function	none
SBDM5	Mus musculus	iCLIP	Celf4	brain	rep2	ENA	E-MTAB-1162	ERR136732	mm10_Celf4_iCLIP_ERR136732.bed	ERR136732	mm10	NA	Wagnon JL, et al. PLoS Genet 2012	Wagnon JL, Briese M, Sun W, Mahaffey CL, Curk T, Rot G, Ule J, Frankel WN. CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function. PLoS Genet. 2012;8(11):e1003067	23209433	CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function	none
SBDM6	Mus musculus	iCLIP	Celf4	brain	rep3	ENA	E-MTAB-1162	ERR136733	mm10_Celf4_iCLIP_ERR136733.bed	ERR136733	mm10	NA	Wagnon JL, et al. PLoS Genet 2012	Wagnon JL, Briese M, Sun W, Mahaffey CL, Curk T, Rot G, Ule J, Frankel WN. CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function. PLoS Genet. 2012;8(11):e1003067	23209433	CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function	none
SBDM7	Mus musculus	iCLIP	Celf4	brain	rep4	ENA	E-MTAB-1162	ERR136734	mm10_Celf4_iCLIP_ERR136734.bed	ERR136734	mm10	NA	Wagnon JL, et al. PLoS Genet 2012	Wagnon JL, Briese M, Sun W, Mahaffey CL, Curk T, Rot G, Ule J, Frankel WN. CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function. PLoS Genet. 2012;8(11):e1003067	23209433	CELF4 regulates translation and local abundance of a vast set of mRNAs, including genes associated with regulation of synaptic function	none
SBDM8	Mus musculus	HITS-CLIP	Ago2	liver	C57BL/6, 1 h, partial hepatectomy, mRNA library, rep1	ENA	E-MTAB-1612	ERR266286	mm10_Ago2_HITS-CLIP_ERR266286.bed	ERR266286	mm10	NA	Schug J, et al. BMC Genomics 2013	Schug J, McKenna LB, Walton G, Hand N, Mukherjee S, Essuman K, Shi Z, Gao Y, Markley K, Nakagawa M, Kameswaran V, Vourekas A, Friedman JR, Kaestner KH, Greenbaum LE. Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver. BMC Genomics. 2013 Apr 18;14:264	23597149	Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver	none
SBDM9	Mus musculus	HITS-CLIP	Ago2	liver	C57BL/6, 36 h, partial hepatectomy, mRNA library, rep2	ENA	E-MTAB-1612	ERR266287	mm10_Ago2_HITS-CLIP_ERR266287.bed	ERR266287	mm10	NA	Schug J, et al. BMC Genomics 2013	Schug J, McKenna LB, Walton G, Hand N, Mukherjee S, Essuman K, Shi Z, Gao Y, Markley K, Nakagawa M, Kameswaran V, Vourekas A, Friedman JR, Kaestner KH, Greenbaum LE. Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver. BMC Genomics. 2013 Apr 18;14:264	23597149	Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver	none
SBDM10	Mus musculus	HITS-CLIP	Ago2	liver	C57BL/6, 48 h, partial hepatectomy, mRNA library, rep2	ENA	E-MTAB-1612	ERR266292	mm10_Ago2_HITS-CLIP_ERR266292.bed	ERR266292	mm10	NA	Schug J, et al. BMC Genomics 2013	Schug J, McKenna LB, Walton G, Hand N, Mukherjee S, Essuman K, Shi Z, Gao Y, Markley K, Nakagawa M, Kameswaran V, Vourekas A, Friedman JR, Kaestner KH, Greenbaum LE. Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver. BMC Genomics. 2013 Apr 18;14:264	23597149	Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver	none
SBDM11	Mus musculus	HITS-CLIP	Ago2	liver	C57BL/6, 36 h, partial hepatectomy, mRNA library, rep1	ENA	E-MTAB-1612	ERR266293	mm10_Ago2_HITS-CLIP_ERR266293.bed	ERR266293	mm10	NA	Schug J, et al. BMC Genomics 2013	Schug J, McKenna LB, Walton G, Hand N, Mukherjee S, Essuman K, Shi Z, Gao Y, Markley K, Nakagawa M, Kameswaran V, Vourekas A, Friedman JR, Kaestner KH, Greenbaum LE. Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver. BMC Genomics. 2013 Apr 18;14:264	23597149	Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver	none
SBDM12	Mus musculus	HITS-CLIP	Ago2	liver	C57BL/6, no hepatectomy, mRNA library, rep1	ENA	E-MTAB-1612	ERR266298	mm10_Ago2_HITS-CLIP_ERR266298.bed	ERR266298	mm10	NA	Schug J, et al. BMC Genomics 2013	Schug J, McKenna LB, Walton G, Hand N, Mukherjee S, Essuman K, Shi Z, Gao Y, Markley K, Nakagawa M, Kameswaran V, Vourekas A, Friedman JR, Kaestner KH, Greenbaum LE. Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver. BMC Genomics. 2013 Apr 18;14:264	23597149	Dynamic recruitment of microRNAs to their mRNA targets in the regenerating liver	none
