MIMAT0000121	mmu-let-7g-5p
MIMAT0000122	mmu-let-7i-5p
MIMAT0000123	mmu-miR-1a-3p
MIMAT0000124	mmu-miR-15b-5p
MIMAT0000125	mmu-miR-23b-3p
MIMAT0000126	mmu-miR-27b-3p
MIMAT0000127	mmu-miR-29b-3p
MIMAT0000128	mmu-miR-30a-5p
MIMAT0000130	mmu-miR-30b-5p
MIMAT0000131	mmu-miR-99a-5p
MIMAT0000132	mmu-miR-99b-5p
MIMAT0000133	mmu-miR-101a-3p
MIMAT0000134	mmu-miR-124-3p
MIMAT0000135	mmu-miR-125a-5p
MIMAT0000136	mmu-miR-125b-5p
MIMAT0000137	mmu-miR-126a-5p
MIMAT0000138	mmu-miR-126a-3p
MIMAT0000139	mmu-miR-127-3p
MIMAT0000140	mmu-miR-128-3p
MIMAT0000141	mmu-miR-130a-3p
MIMAT0000142	mmu-miR-9-5p
MIMAT0000143	mmu-miR-9-3p
MIMAT0000144	mmu-miR-132-3p
MIMAT0000145	mmu-miR-133a-3p
MIMAT0000146	mmu-miR-134-5p
MIMAT0000147	mmu-miR-135a-5p
MIMAT0000148	mmu-miR-136-5p
MIMAT0000149	mmu-miR-137-3p
MIMAT0000150	mmu-miR-138-5p
MIMAT0000151	mmu-miR-140-5p
MIMAT0000152	mmu-miR-140-3p
MIMAT0000153	mmu-miR-141-3p
MIMAT0000154	mmu-miR-142a-5p
MIMAT0000155	mmu-miR-142a-3p
MIMAT0000156	mmu-miR-144-3p
MIMAT0000157	mmu-miR-145a-5p
MIMAT0000158	mmu-miR-146a-5p
MIMAT0000159	mmu-miR-149-5p
MIMAT0000160	mmu-miR-150-5p
MIMAT0000161	mmu-miR-151-3p
MIMAT0000162	mmu-miR-152-3p
MIMAT0000163	mmu-miR-153-3p
MIMAT0000164	mmu-miR-154-5p
MIMAT0000165	mmu-miR-155-5p
MIMAT0000208	mmu-miR-10b-5p
MIMAT0000209	mmu-miR-129-5p
MIMAT0000210	mmu-miR-181a-5p
MIMAT0000211	mmu-miR-182-5p
MIMAT0000212	mmu-miR-183-5p
