F1_H1	F1_H2	F1_H3	F1_N1	F1_N2	F1_N3	F2_H1	F2_H2	F2_H3	F2_N1	F2_N2	F2_N3	F3_H1	F3_H2	F3_H3	F3_N1	F3_N2	F3_N3
DDX11L1	1.65182249211726	2.04556027174483	1.88475039685399	1.70307599658574	2.73742580808052	1.97456549841574	2.84449895538968	1.87666887667125	1.50124123920823	2.57442464649123	2.30041979497431	1.83292394974982	1.83399683579942	1.97144252818819	1.96776896859742	2.22290364370519	2.45981330175367	2.53240311292845
LINC01128	6.18660354714171	6.34758688177826	5.82486691471256	6.45760511855824	6.34411763152855	6.42834691153639	7.73962859617828	7.64664947027377	7.59705076815703	6.86283175280106	6.775317662494	7.13521712875177	5.11229963282886	5.28228899707063	4.73854284170188	5.55726536297898	5.69027782513647	5.20598233888841
LINC01342	2.34520908633891	2.03525438129613	2.49545684343075	2.13619842363371	1.7895528219465	2.42744656191745	2.46446197446113	1.86238867188499	1.81307542870432	2.40973294550886	2.73107279065585	2.4278831980597	2.24955703288154	2.2092744452969	1.81458692384788	2.07281517533571	1.9220156584603	2.46240502132415
LOC148413	4.73282788410534	4.62824560322922	3.66330583943694	5.1204955655455	5.19365515327153	5.03262774835428	3.97009273469818	4.08269542366068	3.65741697466707	5.04690607469639	5.17446124099674	4.97774892628619	4.78181502957802	5.17579309830212	4.76446913130292	4.92296235910398	5.06978496828675	5.43403461928147
LINC01134	3.23707669168534	3.93588981704531	3.6067174696674	3.59706566541659	4.0874415428523	3.44878329435825	4.06351478069813	3.60306521023857	4.12453475178744	3.95223430522691	3.17120551993811	4.19290405968478	3.40332888517961	3.44930828871893	3.89337239719585	3.4462607160895	3.67735124518203	3.75756151077162
LINC00337	3.38976675705834	3.77794663900913	3.83018610034038	4.34757345661352	3.38431235364885	4.10576469231916	3.79319968022565	4.57408570150686	3.66839421477548	4.09784025614749	3.74644546810137	4.24221692469023	3.91922189055921	3.70149898594993	3.74600796344185	4.22377263478578	3.60468446374917	4.07646157932165
LOC100505887	2.38399904685773	2.66101714804529	2.19632310349664	2.01616279535728	2.99685596945348	2.54221863307839	2.32157352477564	1.91315545645312	2.0654665308677	2.21851055831862	2.08596485501096	1.90269198994023	2.69638925407639	1.97599081900536	2.09289040684816	3.12069704240727	2.74418908593972	2.62523836355144
LOC102724539	2.38175077209631	2.42827296792907	2.39413177757713	2.14966589371114	2.22950721157695	2.04169179695431	2.34546002472802	2.5932602445035	2.92209056687024	2.00730349703513	1.89252895617031	2.439761021827	2.52550765479643	2.44194866845441	2.47869071935578	1.9234418008892	2.68860050816666	1.78449410680664
LOC102724552	1.70550984024284	1.54901662409761	1.30875014056313	1.29833769123492	1.43525611010512	1.19080751402384	1.15636870928645	1.08686326615058	1.50631616105842	1.64887740231476	2.1033976012504	1.83041058239233	1.67508183642939	1.35806945089129	1.71893209034282	1.38036570727204	1.46818098740296	1.85904149722392
MTOR-AS1	1.51446699403809	2.04823360382084	1.26934474779809	1.46808321125537	1.33941420349464	1.27140727093274	1.65207795842263	1.63816692968616	1.81213972509646	2.01174556669387	1.18831939421743	1.82643915633531	1.28224053930027	1.40873947376769	0.949929352107407	1.98091193642376	2.11609041227451	1.30469009026509
